timestamp,Temperature,Humidity,feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,weather,AQI
2019-09-13 11,20.725490196078432,45.53725490196079,35.56,30.0,32.78,1003,4.6,200,0.0,40,0,1
2019-09-13 12,21.69630452903584,45.59599888858016,35.34,31.0,32.22,1002,4.6,190,0.0,40,0,1
2019-09-13 13,22.16731517509728,43.555308504724856,33.88,30.1,31.19,1005,4.6,190,0.0,40,0,1
2019-09-13 14,21.73492636843568,44.15976660183384,37.19,30.39,31.0,1004,1.0,200,0.0,40,0,1
2019-09-13 15,19.27757710475132,53.91997777160322,36.11,29.27,31.0,1004,1.0,200,0.0,40,0,1
2019-09-13 16,17.96941896024465,60.38643313872672,36.35,28.2,30.4,1005,1.0,180,0.0,40,0,2
2019-09-13 17,16.83528102392877,67.28380634390649,37.12,29.55,30.4,1005,1.0,140,0.0,40,1,2
2019-09-13 18,16.922114047287902,66.68623087621697,37.04,29.47,30.4,1005,1.0,140,0.0,40,1,1
2019-09-13 19,16.422018348623855,63.66527661940506,35.39,27.0,29.21,1006,0.5,200,0.0,40,0,1
2019-09-13 20,15.732147818838566,66.31536537927202,34.23,27.0,28.02,1006,0.5,200,0.0,40,0,1
2019-09-13 21,15.89633129516398,67.78126737076154,34.1,27.0,27.86,1007,0.5,200,0.0,40,0,1
2019-09-13 22,15.744645340751045,69.88511821974966,33.18,27.2,27.47,1007,1.7,151,0.0,40,0,1
2019-09-13 23,15.245136186770427,71.71539744302392,33.26,27.2,27.51,1006,1.61,158,0.0,40,0,2
2019-09-14 00,15.477184195882025,73.83082915971063,33.16,27.2,27.52,1006,1.72,155,0.0,40,0,2
2019-09-14 01,15.111419838844125,75.55709919422061,33.07,26.92,27.21,1006,1.62,148,0.0,95,1,2
2019-09-14 02,14.948817802503473,76.99360222531294,32.98,26.92,27.27,1006,1.66,152,0.0,94,1,2
2019-09-14 03,15.28031145717464,76.76056729699667,33.55,27.19,27.43,1006,1.73,161,0.0,97,1,2
2019-09-14 04,15.047235343150875,76.6499027507641,33.01,26.8,27.46,1006,1.86,161,0.0,75,0,2
2019-09-17 07,18.194007490636704,59.95355805243447,33.72,28.2,30.2,1007,3.1,190,0.0,40,0,1
2019-09-17 08,22.1976647206005,45.60689463441757,33.36,29.41,30.2,1008,3.1,150,0.0,40,0,1
2019-09-17 09,21.864887406171807,43.77064220183486,32.74,28.2,31.0,1008,3.1,190,0.0,40,0,1
2019-09-17 10,21.291995490417136,44.665163472378815,35.94,31.05,32.6,1007,3.1,180,0.0,40,0,1
2019-09-17 11,21.15123714206283,45.33055323881012,36.0,32.19,33.0,1007,4.1,150,0.0,40,0,1
2019-09-17 12,21.820534223706172,42.64079020589872,37.3,32.34,33.0,1007,3.1,140,0.0,40,0,1
2019-09-17 13,21.22060470324748,43.912374020156776,36.34,32.6,33.65,1005,2.6,140,0.0,40,0,1
2019-09-17 14,21.381086405854212,42.341401632423306,36.58,31.6,35.0,1001,3.1,170,0.0,40,0,1
2019-09-17 15,20.847025495750707,44.046458923512745,34.62,31.64,33.0,1005,3.1,170,0.0,40,0,1
2019-09-17 16,19.81979977753059,46.92269187986653,33.97,31.28,33.0,1005,3.1,170,0.0,40,0,1
2019-09-17 17,18.652584769316288,53.61450806003335,38.18,31.21,32.0,1005,0.5,160,0.0,54,0,1
2019-09-17 18,17.710036141228798,58.73672504865166,38.07,31.1,32.0,1005,0.5,160,0.0,65,0,2
2019-09-17 19,17.313594662218517,63.246872393661384,37.0,29.2,30.51,1006,0.5,200,0.0,69,0,2
2019-09-17 20,17.205448985265498,66.24631637475674,35.76,28.97,29.22,1007,0.5,200,0.0,56,0,2
2019-09-17 21,17.045897079276777,65.45146036161336,35.62,28.8,29.2,1007,0.5,200,0.0,41,0,2
2019-09-17 22,16.692329071706506,65.85908838243468,31.24,27.8,28.15,1008,5.1,160,0.0,20,0,2
2019-09-17 23,16.31051752921536,67.6833611574847,31.51,27.45,28.0,1008,3.6,160,0.0,40,0,2
2019-09-18 00,16.402619113959318,67.70353859013653,30.5,27.0,27.8,1008,3.1,190,0.0,20,0,2
2019-09-18 01,15.48592922819727,69.78517692950683,32.39,26.63,27.0,1007,1.34,165,0.0,78,0,2
2019-09-18 02,15.595105672969966,70.41295884315906,29.18,26.0,27.0,1008,3.1,180,0.0,20,0,1
2019-09-18 03,15.110271480548557,71.08424293310944,32.04,26.02,27.0,1007,1.13,170,0.0,81,0,1
2019-09-18 04,14.532518065591994,73.59866592551417,32.11,26.27,26.6,1008,1.28,154,0.0,40,1,1
2019-09-18 05,14.391655076495132,74.33741307371348,32.15,26.6,29.0,1009,3.6,130,0.0,20,2,1
2019-09-18 06,18.183486238532108,60.82179594106199,32.33,26.6,29.0,1009,3.6,130,0.0,20,2,1
2019-09-18 07,21.81994998610725,49.5037510419561,34.42,28.6,30.4,1010,3.6,130,0.0,40,2,1
2019-09-18 08,23.512520868113523,40.78658875904285,34.04,28.6,31.0,1010,4.1,130,0.0,40,0,1
2019-09-18 09,23.064516129032263,38.6384872080089,34.42,28.6,31.0,1011,3.6,130,0.0,40,0,1
2019-09-18 10,22.09568845618915,42.03198887343533,35.43,31.07,34.0,1011,5.1,130,0.0,40,0,1
2019-09-18 11,21.340744858254585,42.923846581434134,35.48,31.4,33.0,1010,4.6,120,0.0,40,0,1
2019-09-18 12,21.15754376215616,42.994165045846074,35.71,31.4,34.0,1010,5.1,130,0.0,40,0,1
2019-09-18 13,20.718376424798446,46.01584653878232,37.82,32.23,35.56,1005,5.1,130,0.0,40,0,1
2019-09-18 14,20.729091414281744,47.43956654626285,40.14,32.34,35.56,1002,1.0,140,0.0,20,1,1
2019-09-18 15,18.90522512506948,53.751528627015006,30.73,29.29,30.64,1000,2.6,119,0.0,21,1,1
2019-09-18 16,19.09683739154772,53.49230338650993,39.9,26.6,33.33,1002,0.5,140,0.0,40,1,1
2019-09-18 17,18.470522803114573,57.05283648498332,36.93,26.6,32.4,1008,0.5,140,0.0,40,1,1
