timestamp,Temperature,Humidity,feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,weather,AQI
2020-01-28 19,13.914095079232695,57.219627467333886,19.39,20.0,21.24,1014,2.6,90,0.0,20,0,4
2020-01-28 20,13.944676118988044,56.69085348901863,18.44,18.2,20.0,1014,3.1,120,0.0,20,0,4
2020-01-28 21,14.10780772436788,55.74520700194498,18.52,18.44,20.0,1014,3.1,120,0.0,40,0,4
2020-01-28 22,13.99499304589708,59.22392211404729,17.73,18.6,19.4,1015,3.6,100,0.0,40,0,4
2020-01-28 23,13.871039466370206,62.53807670928293,19.57,18.57,19.4,1015,2.6,90,0.14,75,4,5
2020-01-29 00,13.195332036676856,76.18088357877188,18.54,17.96,18.52,1016,2.24,171,0.5,75,4,5
2020-01-29 01,13.045328142380425,81.587319243604,17.56,17.0,19.2,1015,3.6,160,0.0,75,2,5
2020-01-29 02,12.991939966648138,82.94469149527515,17.73,16.89,17.75,1015,1.5,90,0.0,75,2,5
2020-01-29 03,12.755073672504865,84.8479288295802,17.46,16.83,17.19,1015,2.1,90,0.21,75,4,5
2020-01-29 04,12.70908585718255,86.35259794387329,17.68,17.0,17.44,1015,2.1,90,0.38,75,4,5
2020-01-29 05,12.588987764182427,87.57508342602894,19.97,17.58,18.4,1014,0.5,50,0.54,40,4,5
2020-01-29 06,12.203446359088383,88.73568649249582,19.94,17.56,18.4,1014,0.5,50,0.87,40,4,5
2020-01-29 07,12.586206896551724,88.309510567297,19.62,17.66,18.2,1015,1.24,128,0.0,40,2,5
2020-01-29 08,13.73755907700862,83.42869057547956,20.26,18.0,18.55,1015,0.84,104,0.0,40,2,5
2020-01-29 09,14.660922734852695,80.74124513618678,19.56,17.73,18.2,1016,1.38,89,0.0,40,2,5
2020-01-29 10,15.297860516810225,77.57460405668242,23.79,19.96,21.8,1017,0.5,50,0.0,40,0,5
2020-01-29 11,16.630525437864886,71.1820961912705,25.29,21.8,23.19,1016,0.5,50,0.0,40,0,5
2020-01-29 12,17.94859683245346,67.20283412058905,25.99,21.8,23.84,1015,0.5,50,0.0,40,0,5
2020-01-29 13,18.010839355197337,66.68371317398555,27.14,23.0,25.56,1010,1.5,50,0.0,75,2,5
2020-01-29 14,17.92602892102336,67.95244716351502,27.36,23.0,26.11,1010,1.5,50,0.0,75,2,5
2020-01-29 15,17.509591326105088,70.356408117876,24.14,22.65,23.77,1013,2.6,50,0.0,75,2,5
2020-01-29 16,16.850862548692266,74.1867000556483,22.56,21.4,23.84,1013,3.1,90,0.0,75,7,5
2020-01-29 17,16.072044506258692,78.47426981919331,22.7,21.0,23.69,1013,2.1,90,0.0,75,7,5
2020-01-29 18,15.223859844271411,82.93186874304783,22.84,20.0,23.54,1014,2.1,60,0.0,40,2,5
2020-01-29 19,14.847094801223239,85.3458437586878,21.73,19.8,21.53,1015,2.1,100,0.0,40,2,5
2020-01-29 20,14.260072242289526,87.42428452347876,20.96,19.8,20.68,1015,1.5,80,0.0,40,2,5
2020-01-29 21,13.903781979977751,88.7566740823137,21.34,19.8,20.19,1015,2.39,138,0.0,20,2,5
2020-02-06 17,16.457055214723926,42.86042944785276,22.5,21.88,23.2,1015,1.0,320,0.0,40,0,2
2020-02-06 18,16.198498748957466,43.96246872393662,21.64,20.88,23.2,1015,2.1,270,0.0,40,0,2
2020-02-06 19,16.0,49.432304698359744,19.64,18.61,21.0,1016,1.5,310,0.0,40,0,3
2020-02-06 20,15.589608224506808,49.834120589052525,18.43,17.4,21.0,1017,2.6,350,0.0,40,0,4
2020-02-06 21,14.973018080667591,48.37607788595271,17.85,18.0,20.4,1017,3.1,350,0.0,75,0,5
2020-02-06 22,14.747915508615895,42.967204002223454,17.17,17.0,19.15,1017,2.1,360,0.0,40,0,3
2020-02-06 23,13.89716509171762,45.257921067259595,17.03,16.77,18.8,1017,2.1,360,0.0,40,0,2
2020-02-07 00,13.315525876460766,47.708959376739,17.66,16.78,18.8,1017,1.0,50,0.0,40,0,3
2020-02-07 01,12.65980528511822,51.45424200278164,15.92,15.82,17.74,1016,1.0,350,0.0,40,0,3
2020-02-07 02,11.828237909949973,55.02223457476376,15.67,15.43,16.63,1016,1.0,350,0.0,40,0,3
2020-02-07 03,11.09447068630175,59.850236176715754,13.05,12.0,16.2,1016,1.0,250,0.0,15,0,3
2020-02-07 04,10.717065036131183,61.00806003335186,12.22,12.0,14.2,1016,1.0,250,0.0,8,0,3
2020-02-07 05,10.095635251598557,63.269391159299424,13.31,14.2,15.03,1016,1.71,20,0.0,7,0,3
