Temperature,Humidity,Carbon Monoxide,Nitrogen Dioxide,Dust (PM2.5),Dust (PM10),Date
17,67,13,0,84,117,15-12-2020 18:05
17,67,12,0,84,116,15-12-2020 18:05
17,67,12,0,84,116,15-12-2020 18:05
17,67,15,0,84,117,15-12-2020 18:03
17,67,14,0,84,117,15-12-2020 18:02
17,67,13,0,0,0,15-12-2020 18:01
17,67,13,0,0,0,15-12-2020 18:01
17,67,13,0,0,0,15-12-2020 18:01
17,66,12,0,81,113,15-12-2020 17:56
17,66,10,0,81,113,15-12-2020 17:56
17,65,13,0,80,112,15-12-2020 17:55
17,65,12,0,80,112,15-12-2020 17:55
17,65,10,0,80,112,15-12-2020 17:53
17,65,11,0,80,112,15-12-2020 17:53
17,65,12,0,80,111,15-12-2020 17:52
17,65,11,0,77,107,15-12-2020 17:48
17,65,10,0,78,108,15-12-2020 17:47
17,65,11,0,0,0,15-12-2020 17:46
17,65,12,0,0,0,15-12-2020 17:46
17,65,12,0,0,0,15-12-2020 17:46
16,54,10,0,106,147,15-12-2020 17:44
16,54,13,0,105,146,15-12-2020 17:42
16,54,13,0,106,147,15-12-2020 17:42
17,54,13,0,106,147,15-12-2020 17:41
17,54,13,0,106,147,15-12-2020 17:41
17,53,12,0,106,147,15-12-2020 17:41
17,53,12,0,107,148,15-12-2020 17:40
17,53,13,0,107,149,15-12-2020 17:39
17,53,12,0,107,149,15-12-2020 17:38
17,53,12,0,107,149,15-12-2020 17:38
17,53,11,0,108,150,15-12-2020 17:37
17,53,12,0,108,150,15-12-2020 17:36
17,53,12,0,109,151,15-12-2020 17:36
17,53,10,0,110,153,15-12-2020 17:35
18,53,10,0,111,154,15-12-2020 17:33
17,53,10,0,111,154,15-12-2020 17:33
17,54,11,0,111,155,15-12-2020 17:32
17,54,11,0,112,156,15-12-2020 17:32
17,53,13,0,115,159,15-12-2020 17:31
17,53,13,0,116,161,15-12-2020 17:30
17,53,11,0,118,164,15-12-2020 17:29
17,54,10,0,121,168,15-12-2020 17:27
17,54,11,0,125,173,15-12-2020 17:25
17,54,10,0,125,174,15-12-2020 17:25
17,53,11,0,126,175,15-12-2020 17:24
16,53,10,0,131,182,15-12-2020 17:22
16,54,12,0,134,187,15-12-2020 17:20
17,53,12,0,141,196,15-12-2020 17:17
17,53,12,0,142,197,15-12-2020 17:17
18,53,11,0,147,204,15-12-2020 17:16
18,53,11,0,147,205,15-12-2020 17:16
18,53,10,0,148,206,15-12-2020 17:15
18,53,10,0,148,206,15-12-2020 17:15
18,53,11,0,149,207,15-12-2020 17:14
18,54,13,0,146,202,15-12-2020 17:13
18,54,11,0,145,201,15-12-2020 17:11
18,54,12,0,145,201,15-12-2020 17:11
17,53,11,0,145,201,15-12-2020 17:09
17,53,12,0,145,201,15-12-2020 17:09
17,53,11,0,148,206,15-12-2020 17:08
18,53,10,0,152,212,15-12-2020 17:06
18,53,10,0,153,213,15-12-2020 17:06
18,54,10,0,153,213,15-12-2020 17:05
17,54,13,0,150,208,15-12-2020 17:04
17,54,15,0,149,207,15-12-2020 17:03
17,54,13,0,149,207,15-12-2020 17:02
18,54,11,0,0,0,15-12-2020 17:01
18,54,10,0,0,0,15-12-2020 17:01
18,53,12,0,254,353,15-12-2020 16:59
18,53,9,0,263,366,15-12-2020 16:57
17,53,10,0,267,371,15-12-2020 16:57
17,53,12,0,267,371,15-12-2020 16:54
17,53,12,0,265,368,15-12-2020 16:53
17,53,14,0,266,369,15-12-2020 16:53
17,53,12,0,274,381,15-12-2020 16:51
17,53,12,0,274,381,15-12-2020 16:51
17,53,10,0,276,383,15-12-2020 16:51
17,53,11,0,279,387,15-12-2020 16:50
18,53,10,0,292,405,15-12-2020 16:49
18,53,10,0,299,415,15-12-2020 16:49
18,53,11,0,299,415,15-12-2020 16:49
18,53,10,0,305,424,15-12-2020 16:47
18,53,10,0,305,424,15-12-2020 16:47
18,53,10,0,0,0,15-12-2020 16:46
18,53,10,0,0,0,15-12-2020 16:46
18,53,10,0,0,0,15-12-2020 16:46
18,57,13,0,1000,1000,15-12-2020 16:44
19,57,14,0,1000,1000,15-12-2020 16:43
19,57,11,0,1000,1000,15-12-2020 16:43
19,57,11,0,1000,1000,15-12-2020 16:43
19,57,11,0,1000,1000,15-12-2020 16:42
18,57,11,0,1000,1000,15-12-2020 16:42
18,57,15,0,1000,1000,15-12-2020 16:41
17,57,15,0,1000,1000,15-12-2020 16:39
17,56,13,0,1000,1000,15-12-2020 16:39
17,56,15,0,1000,1000,15-12-2020 16:38
17,56,15,0,1000,1000,15-12-2020 16:37
17,56,15,0,1000,1000,15-12-2020 16:37
18,57,12,0,1000,1000,15-12-2020 16:35
18,57,12,0,1000,1000,15-12-2020 16:35
18,57,14,0,1000,1000,15-12-2020 16:34
17,57,15,0,1000,1000,15-12-2020 16:34
18,57,16,0,1000,1000,15-12-2020 16:33
18,56,12,0,1000,1000,15-12-2020 16:32
18,56,12,0,1000,1000,15-12-2020 16:32
18,56,12,0,1000,1000,15-12-2020 16:31
18,56,14,0,1000,1000,15-12-2020 16:30
18,56,15,0,1000,1000,15-12-2020 16:27
18,56,16,0,1000,1000,15-12-2020 16:27
18,56,16,0,1000,1000,15-12-2020 16:27
18,56,14,0,1000,1000,15-12-2020 16:26
17,56,15,0,1000,1000,15-12-2020 16:26
18,56,16,0,1000,1000,15-12-2020 16:25
19,56,14,0,1000,1000,15-12-2020 16:23
19,56,15,0,1000,1000,15-12-2020 16:23
18,56,15,0,1000,1000,15-12-2020 16:22
18,56,14,0,1000,1000,15-12-2020 16:21
18,56,14,0,1000,1000,15-12-2020 16:21
18,56,14,0,1000,1000,15-12-2020 16:21
17,56,14,0,1000,1000,15-12-2020 16:21
17,56,13,0,1000,1000,15-12-2020 16:20
17,56,15,0,1000,1000,15-12-2020 16:20
17,56,14,0,1000,1000,15-12-2020 16:20
17,56,14,0,1000,1000,15-12-2020 16:20
17,56,15,0,1000,1000,15-12-2020 16:19
17,57,14,0,1000,1000,15-12-2020 16:19
17,57,13,0,1000,1000,15-12-2020 16:19
17,56,13,0,1000,1000,15-12-2020 16:18
17,56,12,0,1000,1000,15-12-2020 16:18
17,56,12,0,1000,1000,15-12-2020 16:18
17,56,14,0,1000,1000,15-12-2020 16:17
18,56,16,0,1000,1000,15-12-2020 16:17
17,56,16,0,1000,1000,15-12-2020 16:14
17,56,16,0,1000,1000,15-12-2020 16:14
17,56,14,0,1000,1000,15-12-2020 16:13
17,57,14,0,1000,1000,15-12-2020 16:11
18,56,15,0,1000,1000,15-12-2020 16:11
18,56,15,0,1000,1000,15-12-2020 16:11
18,56,18,0,1000,1000,15-12-2020 16:08
18,56,15,0,1000,1000,15-12-2020 16:07
18,56,16,0,1000,1000,15-12-2020 16:06
18,56,15,0,1000,1000,15-12-2020 16:05
17,57,15,0,1000,1000,15-12-2020 16:04
17,56,15,0,1000,1000,15-12-2020 16:04
17,56,15,0,1000,1000,15-12-2020 16:03
17,56,14,0,1000,1000,15-12-2020 16:03
17,56,13,0,1000,1000,15-12-2020 16:02
18,56,12,0,0,0,15-12-2020 16:01
18,56,13,0,0,0,15-12-2020 16:01
18,56,13,0,0,0,15-12-2020 16:01
17,57,18,0,1000,1000,15-12-2020 15:58
