TEMP,PID,USER,PR,NI,VIRT,RES,SHR,S,CPU,MEM,TIME,ENV,COMMAND
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:36.98,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:38.17,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:39.36,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:40.55,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:41.75,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:42.95,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:44.14,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:45.33,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,1:46.53,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:47.72,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:48.91,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,1:50.11,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:51.29,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:52.49,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:53.68,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:54.87,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:56.07,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:57.26,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,1:58.45,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,1:59.64,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:00.84,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:02.03,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,2:03.22,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:04.42,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:05.61,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:06.80,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:08.00,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:09.19,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:10.38,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:11.57,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,2:12.77,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,2:13.97,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,2:15.16,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:16.35,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,2:17.55,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:18.74,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:19.93,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:21.12,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:22.31,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:23.51,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:24.70,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:25.89,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,2:27.09,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:28.28,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:29.47,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,2:30.67,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:31.86,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:33.05,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,2:34.25,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:35.44,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:36.63,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,2:37.82,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,2:39.02,python3,rf_t.py
T57.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:40.21,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,2:41.40,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,2:42.60,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,2:43.79,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:44.98,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:46.17,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,2:47.37,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:48.56,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,2:49.75,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:50.94,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:52.14,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,2:53.33,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:54.52,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:55.72,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,2:56.91,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:58.10,python3,rf_t.py
T60.8C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,2:59.30,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,3:00.49,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:01.68,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:02.87,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:04.07,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:05.26,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:06.46,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:07.65,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,106.2,5.8,3:08.85,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:10.04,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:11.23,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:12.43,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,93.8,5.8,3:13.61,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:14.80,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:16.00,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:17.19,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:18.38,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,3:19.58,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:20.77,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:21.96,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,3:23.16,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:24.35,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:25.54,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,3:26.74,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:27.93,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:29.12,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,3:30.32,python3,rf_t.py
T59.9C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:31.51,python3,rf_t.py
T59.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:32.70,python3,rf_t.py
T58.9C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,3:33.89,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:35.09,python3,rf_t.py
T58.4C,16362,pk,20,0,1269160,464660,180060,R,100.0,5.8,3:36.28,python3,rf_t.py
T60.3C,16362,pk,20,0,1269160,464660,180060,R,94.1,5.8,3:37.48,python3,rf_t.py
