Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
20200.00,0,0,0,410.794,1984.135,4.83
20400.00,-0.024,0,0,413.139,1993.809,4.826
20600.00,-0.021,0,0,357.858,1742.0527,4.868
20800.00,0.01,0,0,409.099,1975.13,4.828
21000.00,-0.024,0,0,410.765,1982.3521,4.826
21200.00,0.021,0,0,357.37,1738.2476,4.864
21400.00,-0.002,0,0,407.573,1968.5775,4.83
21600.00,-0.001,0,0,409.341,1976.2983,4.828
21800.00,0.011,0,0,357.445,1739.3275,4.866
22000.00,-0.01,0,0,413.389,1995.0154,4.826
22200.00,0.006,0,0,417.655,2004.744,4.8
22400.00,0.006,0,0,357.884,1741.4636,4.866
22600.00,0.006,0,0,413.105,1994.4711,4.828
22800.00,0.005,0,0,358.568,1743.3575,4.862
23000.00,0.011,0,0,410.082,1981.5161,4.832
23200.00,-0.017,0,0,410.526,1982.0195,4.828
23400.00,0.001,0,0,357.741,1740.0521,4.864
23600.00,0.005,0,0,413.204,1995.7754,4.83
23800.00,-0.005,0,0,434.012,2086.7297,4.808
24000.00,-0.011,0,0,358.149,1742.0366,4.864
24200.00,0,0,0,409.103,1976.7856,4.832
24400.00,0.012,0,0,357.975,1741.9065,4.866
24600.00,0.024,0,0,409.885,1978.1051,4.826
24800.00,-0.011,0,0,408.281,1971.9972,4.83
25000.00,-0.009,0,0,357.968,1741.1562,4.864
25200.00,-0.002,0,0,408.804,1972.8881,4.826
25400.00,-0.007,0,0,452.773,2171.4993,4.796
25600.00,-0.01,0,0,357.868,1740.6699,4.864
25800.00,-0.015,0,0,414.362,1999.7111,4.826
26000.00,-0.005,0,0,451.395,2172.1125,4.812
26200.00,-0.003,0,0,362.977,1765.52,4.864
26400.00,0.016,0,0,411.445,1986.4565,4.828
26600.00,0.009,0,0,756.694,3452.0378,4.562
26800.00,-0.017,0,0,420.408,2027.2074,4.822
27000.00,0.012,0,0,420.174,2026.0791,4.822
27200.00,0.01,0,0,358.004,1741.3314,4.864
27400.00,0,0,0,406.982,1964.9091,4.828
27600.00,-0.004,0,0,409.561,1977.3606,4.828
27800.00,-0.001,0,0,358.991,1746.8502,4.866
28000.00,0,0,0,409.919,1979.9088,4.83
28200.00,-0.003,0,0,411.067,1984.6315,4.828
28400.00,0.014,0,0,357.88,1740.0126,4.862
28600.00,-0.002,0,0,409.47,1977.7401,4.83
28800.00,0,0,0,413.407,1997.5826,4.832
29000.00,-0.002,0,0,358.405,1744.7156,4.868
29200.00,0.011,0,0,409.075,1975.0142,4.828
