TEMP,PID,USER,PR,NI,VIRT,RES,SHR,S,CPU,MEM,TIME,ENV,COMMAND
T56.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:47.13,python3,rf.py
T54.5C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,1:48.32,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:49.51,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,1:50.70,python3,rf.py
T54.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:51.90,python3,rf.py
T54.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:53.09,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:54.29,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:55.49,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:56.68,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,1:57.87,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,1:59.06,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:00.25,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:01.44,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,2:02.64,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:03.83,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:05.03,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:06.22,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:07.41,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,2:08.61,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,2:09.80,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:10.99,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:12.18,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,2:13.38,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:14.57,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,2:15.76,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:16.95,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:18.15,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,2:19.34,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:20.54,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:21.73,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:22.92,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:24.11,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,2:25.31,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,2:26.51,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:27.70,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,2:28.89,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:30.09,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:31.28,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:32.47,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,2:33.66,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:34.85,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,2:36.05,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:37.24,python3,rf.py
T55.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:38.43,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:39.62,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:40.82,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,2:42.02,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:43.21,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:44.40,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:45.60,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:46.79,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:47.98,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,2:49.18,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,2:50.37,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:51.55,python3,rf.py
T55.5C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,2:52.75,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,2:53.95,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:55.14,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,2:56.33,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,2:57.53,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,2:58.71,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,2:59.91,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,3:01.11,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:02.30,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:03.49,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:04.69,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:05.87,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:07.06,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:08.26,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:09.45,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:10.64,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:11.83,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:13.03,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:14.22,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:15.41,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:16.60,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:17.80,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:18.99,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:20.18,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:21.38,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:22.57,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:23.76,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:24.96,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:26.15,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:27.34,python3,rf.py
T56.0C,10567,pk,20,0,1268852,465432,179080,R,93.8,5.8,3:28.53,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:29.73,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:30.92,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:32.12,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:33.31,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:34.50,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:35.69,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:36.89,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:38.07,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:39.27,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:40.46,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:41.65,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:42.84,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:44.04,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:45.23,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:46.43,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:47.62,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:48.81,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:50.00,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:51.20,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:52.39,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:53.58,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:54.77,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:55.97,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:57.16,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,3:58.35,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,3:59.54,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:00.74,python3,rf.py
T56.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:01.94,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:03.13,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:04.32,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:05.52,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:06.70,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:07.89,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:09.09,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:10.28,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:11.48,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:12.67,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:13.86,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:15.05,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:16.25,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:17.44,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:18.64,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:19.83,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:21.03,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:22.22,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:23.41,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:24.61,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:25.80,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,94.1,5.8,4:26.99,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:28.18,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:29.38,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:30.57,python3,rf.py
T57.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:31.76,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:32.95,python3,rf.py
T57.4C,10567,pk,20,0,1268852,465432,179080,R,106.2,5.8,4:34.15,python3,rf.py
T58.4C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:35.35,python3,rf.py
T56.9C,10567,pk,20,0,1268852,465432,179080,R,100.0,5.8,4:36.54,python3,rf.py
