Time (ms),Main Avg Current (mA),Main Avg Power (mW),Main Avg Voltage (V),USB Avg Current (mA),USB Avg Power (mW),USB Avg Voltage (V)
167800.00,0,0,0,404.29,1953.5292,4.832
168000.00,0.003,0,0,405.764,1959.8401,4.83
168200.00,0.012,0,0,405.208,1957.1547,4.83
168400.00,0.01,0,0,405.455,1958.3475,4.83
168600.00,0.003,0,0,612.828,2872.9377,4.688
168800.00,0.007,0,0,558.886,2640.1775,4.724
169000.00,-0.004,0,0,405.31,1957.6472,4.83
169200.00,0.016,0,0,405.335,1959.3894,4.834
169400.00,0.003,0,0,405.767,1961.4777,4.834
169600.00,-0.008,0,0,406.117,1961.545,4.83
169800.00,0.012,0,0,405.352,1959.4716,4.834
170000.00,0.015,0,0,406.067,1962.1156,4.832
170200.00,0,0,0,405.87,1960.3521,4.83
170400.00,0.005,0,0,405.265,1959.0511,4.834
170600.00,0.012,0,0,412.25,1991.1675,4.83
170800.00,-0.01,0,0,405.376,1957.1554,4.828
171000.00,0,0,0,405.105,1957.4673,4.832
171200.00,-0.004,0,0,406.561,1963.6896,4.83
171400.00,-0.002,0,0,405.043,1957.1677,4.832
171600.00,0.003,0,0,446.669,2145.7979,4.804
171800.00,0.001,0,0,405.463,1957.5754,4.828
172000.00,0.012,0,0,405.463,1957.5754,4.828
172200.00,-0.005,0,0,405.722,1958.8258,4.828
172400.00,-0.003,0,0,565.675,2668.8545,4.718
172600.00,0.007,0,0,405.344,1959.4329,4.834
172800.00,-0.013,0,0,406.208,1961.9846,4.83
173000.00,-0.015,0,0,406.055,1961.2456,4.83
173200.00,0.003,0,0,405.278,1957.4928,4.83
173400.00,0.002,0,0,406.044,1962.8168,4.834
173600.00,0.008,0,0,406.303,1964.0688,4.834
173800.00,0.001,0,0,405.267,1958.25,4.832
174000.00,0.005,0,0,405.748,1959.7627,4.83
174200.00,-0.003,0,0,411.24,1986.2891,4.83
174400.00,-0.014,0,0,428.8,2067.6736,4.822
174600.00,-0.031,0,0,569.603,2685.1089,4.714
174800.00,-0.012,0,0,405.329,1957.7391,4.83
175000.00,0.001,0,0,406.044,1962.8168,4.834
175200.00,0.024,0,0,406.242,1963.7739,4.834
