timestamp,Temperature,Humidity,feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,weather,AQI
2019-03-13 22,17.25,70.2,17.08,17.54,19.0,1017,1.91,353,0.0,20,0,5
2019-03-13 23,16.62,74.8,17.41,15.6,18.0,1017,2.31,347,0.0,20,2,5
2019-03-14 00,15.88,81.3,15.44,16.64,17.12,1017,2.56,354,0.0,20,0,5
2019-03-14 01,15.12,84.35,14.43,15.55,16.26,1016,2.62,3,0.0,20,0,5
2019-03-14 02,14.7,84.72,14.73,13.6,16.0,1016,2.67,8,0.0,20,2,5
2019-03-14 03,14.53,86.58,14.84,13.6,16.0,1016,2.2,20,0.0,20,2,5
2019-03-14 04,13.78,90.83,14.48,13.2,16.0,1016,2.42,22,0.0,40,2,5
2019-03-14 05,14.23,87.53,13.54,13.0,15.5,1016,2.07,23,0.0,40,2,5
2019-03-14 06,14.6,85.6,13.17,13.0,15.27,1016,2.15,28,0.0,40,6,5
2019-03-14 07,13.6,91.22,14.63,13.0,16.65,1017,1.83,35,0.0,40,6,5
2019-03-14 08,15.67,84.03,17.09,16.0,18.0,1018,1.8,17,0.0,40,2,5
2019-03-14 09,18.43,69.95,19.44,16.6,21.0,1018,1.0,20,0.0,40,2,5
2019-03-14 10,21.67,52.65,22.8,21.41,24.6,1014,2.6,30,0.0,40,0,5
2019-03-14 11,24.42,38.38,21.81,21.0,24.6,1015,3.1,340,0.11,75,4,5
2019-03-14 12,22.73,53.67,20.78,21.56,25.0,1014,5.1,350,0.0,40,0,3
2019-03-14 13,23.12,49.75,21.98,21.1,23.25,1017,2.6,310,0.0,75,0,3
2019-03-14 14,23.12,45.42,19.43,20.46,22.31,1017,4.1,320,0.5,90,4,3
2019-03-14 15,21.3,52.67,17.89,19.19,21.0,1016,5.1,320,0.5,90,4,2
2019-03-14 16,21.75,46.83,18.06,16.8,21.0,1016,4.1,290,0.0,90,0,1
2019-03-14 17,20.75,50.2,18.44,16.8,20.4,1016,3.1,290,0.11,90,4,1
2019-03-14 18,19.23,58.2,18.76,16.8,20.99,1016,2.1,320,0.0,75,0,1
2019-03-14 19,18.5,59.28,18.05,17.8,19.37,1016,2.1,320,0.0,75,0,1
2019-03-14 20,18.02,60.22,16.98,17.0,17.82,1016,2.08,339,0.0,40,2,2
2019-03-14 21,17.45,64.05,16.26,16.0,17.55,1017,2.04,335,0.0,40,2,2
2019-03-14 22,15.68,74.88,14.97,13.8,16.0,1017,1.93,326,0.0,20,2,2
2019-03-14 23,15.1,77.33,14.02,13.8,15.0,1017,2.07,325,0.0,20,2,3
2019-03-15 00,13.55,86.97,13.86,13.8,15.0,1018,2.3,329,0.0,20,2,3
2019-03-15 01,12.3,92.9,12.73,13.2,14.0,1018,2.1,270,0.0,20,2,3
2019-03-15 02,12.75,93.2,12.1,13.0,13.62,1017,2.1,270,0.0,20,2,3
2019-03-15 03,13.2,92.2,11.81,12.38,13.2,1017,2.1,270,0.0,20,2,3
2019-03-15 04,13.02,93.65,11.46,12.0,12.81,1017,1.5,270,0.0,20,2,3
2019-03-15 05,13.0,92.1,11.8,12.0,13.85,1018,1.5,270,0.0,20,2,4
2019-03-15 06,12.43,93.4,10.61,11.0,13.88,1018,2.06,280,0.0,0,6,4
2019-03-15 07,12.65,90.2,11.07,11.0,15.4,1019,2.1,280,0.0,1,6,4
2019-03-15 08,13.8,84.92,13.15,11.8,15.58,1020,1.5,320,0.0,1,2,5
2019-03-15 09,16.73,70.85,15.49,15.0,19.0,1021,2.6,280,0.0,1,0,5
2019-03-15 10,19.98,56.7,19.53,19.0,23.33,1017,3.1,290,0.0,1,0,5
2019-03-15 11,22.5,46.58,21.59,22.0,23.05,1021,2.6,320,0.0,1,0,4
2019-03-15 12,24.25,40.92,22.11,22.8,23.37,1020,2.6,20,0.0,1,0,2
2019-03-15 13,25.2,38.0,23.33,24.0,25.56,1015,3.1,320,0.0,1,0,2
2019-03-15 14,25.85,34.58,24.51,24.44,26.05,1014,2.1,320,0.0,20,0,2
2019-03-15 15,25.85,32.97,24.84,24.44,26.0,1013,1.5,320,0.0,40,0,2
2019-03-15 16,26.1,32.47,23.4,23.0,26.0,1013,3.1,270,0.0,20,0,2
2019-03-15 17,25.35,34.3,24.53,23.0,25.0,1013,1.5,290,0.0,20,0,1
2019-03-15 18,23.73,39.98,23.77,22.0,24.44,1013,1.0,270,0.0,1,0,1
2019-03-15 19,21.75,48.88,22.35,21.0,22.22,1017,1.0,270,0.0,1,0,1
2019-03-15 20,20.25,56.52,21.19,19.4,20.14,1018,1.0,270,0.0,0,2,2
2019-03-15 21,19.45,62.02,20.98,19.4,20.0,1018,1.0,270,0.0,0,2,2
2019-03-15 22,18.62,67.45,19.57,17.6,19.0,1018,1.0,290,0.0,0,2,2
2019-03-15 23,18.1,70.62,18.8,17.51,18.0,1019,1.0,290,0.0,0,2,2
2019-03-16 00,17.75,72.45,15.83,17.0,17.3,1018,3.1,280,0.0,1,2,2
2019-03-16 01,17.3,71.65,17.19,15.6,17.0,1018,1.0,290,0.0,0,2,3
2019-03-16 02,16.75,70.8,17.13,15.52,17.0,1017,1.0,290,0.0,0,2,3
2019-03-16 03,15.97,73.35,15.18,13.68,15.6,1017,1.0,290,0.0,1,2,2
2019-03-16 04,15.5,74.52,12.22,13.0,13.27,1017,2.1,260,0.0,20,2,2
2019-03-16 05,14.8,77.95,13.0,12.0,14.22,1017,1.0,290,0.0,3,2,2
2019-03-16 06,14.45,80.25,13.33,13.0,14.2,1017,1.54,270,0.0,20,2,3
2019-03-16 07,13.9,82.82,14.49,13.0,16.4,1017,1.54,270,0.0,20,2,3
2019-03-16 08,15.88,74.92,15.38,15.0,15.8,1018,1.5,290,0.0,40,2,3
2019-03-16 09,19.0,60.08,16.29,15.2,17.0,1019,1.5,290,0.0,40,2,4
2019-03-16 10,20.92,49.62,22.27,20.0,24.44,1014,1.03,350,0.0,20,0,3
2019-03-16 11,23.12,40.65,21.2,22.0,25.0,1013,4.1,290,0.0,20,0,3
2019-03-16 12,24.57,35.25,22.05,23.2,25.0,1013,4.12,270,0.0,20,0,3
2019-03-16 13,25.45,28.75,22.64,24.0,25.79,1012,4.12,270,0.0,20,0,3
2019-03-16 14,26.27,26.12,24.58,25.56,26.32,1011,3.1,270,0.0,40,0,2
2019-03-16 15,26.8,26.35,25.18,24.88,26.0,1011,1.5,300,0.0,40,0,2
2019-03-16 16,26.53,27.42,24.88,23.8,26.0,1010,1.5,290,0.0,40,0,2
2019-03-16 17,25.52,28.3,24.62,23.8,26.0,1010,1.54,290,0.0,40,0,2
2019-03-16 18,24.45,33.3,21.57,23.0,24.01,1014,3.1,260,0.0,40,0,2
2019-03-16 19,22.45,35.85,19.94,21.0,22.5,1016,2.6,270,0.0,40,0,2
2019-03-16 20,21.15,38.03,20.9,19.8,21.0,1016,2.04,300,0.0,20,0,2
2019-03-16 21,19.35,51.25,20.11,19.77,20.19,1016,2.13,305,0.0,20,0,2
2019-03-16 22,18.22,58.9,19.5,17.2,20.0,1016,2.0,309,0.0,20,2,3
2019-03-16 23,17.6,64.15,18.82,17.18,19.0,1016,1.84,317,0.0,20,2,3
2019-03-17 00,16.93,68.25,18.87,17.19,19.0,1015,1.78,323,0.0,20,2,3
2019-03-17 01,16.33,72.73,17.43,15.8,18.0,1014,1.93,328,0.0,20,2,3
2019-03-17 02,16.6,73.47,16.69,15.78,17.0,1014,1.91,327,0.0,20,2,3
2019-03-17 03,15.03,81.12,16.74,15.37,17.0,1014,1.63,335,0.0,20,2,3
2019-03-17 04,15.55,79.7,15.82,14.61,17.0,1014,2.25,308,0.0,75,6,3
2019-03-17 05,16.23,74.33,15.22,14.78,16.0,1014,1.83,285,0.0,75,6,3
