timestamp,Temperature,Humidity,feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,weather,AQI
2019-03-13 22,16.88,69.28,17.08,17.54,19.0,1017,1.91,353,0.0,20,0,5
2019-03-13 23,16.25,74.12,17.41,15.6,18.0,1017,2.31,347,0.0,20,2,5
2019-03-14 00,15.65,80.4,15.44,16.64,17.12,1017,2.56,354,0.0,20,0,5
2019-03-14 01,15.2,88.57,14.43,15.55,16.26,1016,2.62,3,0.0,20,0,5
2019-03-14 02,14.65,93.05,14.73,13.6,16.0,1016,2.67,8,0.0,20,2,4
2019-03-14 03,14.03,95.3,14.84,13.6,16.0,1016,2.2,20,0.0,20,2,4
2019-03-14 04,13.38,95.3,14.48,13.2,16.0,1016,2.42,22,0.0,40,2,4
2019-03-14 05,13.62,95.25,13.54,13.0,15.5,1016,2.07,23,0.0,40,2,5
2019-03-14 06,13.3,95.3,13.17,13.0,15.27,1016,2.15,28,0.0,40,6,5
2019-03-14 07,13.35,95.28,14.63,13.0,16.65,1017,1.83,35,0.0,40,6,5
2019-03-14 08,15.28,93.72,17.09,16.0,18.0,1018,1.8,17,0.0,40,2,4
2019-03-14 09,20.7,65.22,19.44,16.6,21.0,1018,1.0,20,0.0,40,2,5
2019-03-14 10,22.62,51.47,22.8,21.41,24.6,1014,2.6,30,0.0,40,0,5
2019-03-14 11,23.85,40.95,21.81,21.0,24.6,1015,3.1,340,0.11,75,4,4
2019-03-14 12,20.4,73.3,20.78,21.56,25.0,1014,5.1,350,0.0,40,0,4
2019-03-14 13,23.43,50.7,21.98,21.1,23.25,1017,2.6,310,0.0,75,0,4
2019-03-14 14,22.2,50.83,19.43,20.46,22.31,1017,4.1,320,0.5,90,4,3
2019-03-14 15,20.65,56.2,17.89,19.19,21.0,1016,5.1,320,0.5,90,4,2
2019-03-14 16,20.5,61.6,18.06,16.8,21.0,1016,4.1,290,0.0,90,0,1
2019-03-14 17,18.73,72.72,18.44,16.8,20.4,1016,3.1,290,0.11,90,4,1
2019-03-14 18,17.75,80.75,18.76,16.8,20.99,1016,2.1,320,0.0,75,0,1
2019-03-14 19,17.45,75.33,18.05,17.8,19.37,1016,2.1,320,0.0,75,0,2
2019-03-14 20,17.3,68.38,16.98,17.0,17.82,1016,2.08,339,0.0,40,2,2
2019-03-14 21,15.47,82.0,16.26,16.0,17.55,1017,2.04,335,0.0,40,2,2
2019-03-14 22,14.35,93.65,14.97,13.8,16.0,1017,1.93,326,0.0,20,2,3
2019-03-14 23,14.07,95.03,14.02,13.8,15.0,1017,2.07,325,0.0,20,2,3
2019-03-15 00,13.43,95.25,13.86,13.8,15.0,1018,2.3,329,0.0,20,2,3
2019-03-15 01,12.75,95.3,12.73,13.2,14.0,1018,2.1,270,0.0,20,2,3
2019-03-15 02,11.82,95.3,12.1,13.0,13.62,1017,2.1,270,0.0,20,2,3
2019-03-15 03,11.55,95.3,11.81,12.38,13.2,1017,2.1,270,0.0,20,2,3
2019-03-15 04,11.43,95.25,11.46,12.0,12.81,1017,1.5,270,0.0,20,2,4
2019-03-15 05,11.3,95.28,11.8,12.0,13.85,1018,1.5,270,0.0,20,2,4
2019-03-15 06,11.17,95.3,10.61,11.0,13.88,1018,2.06,280,0.0,0,6,4
2019-03-15 07,11.2,95.3,11.07,11.0,15.4,1019,2.1,280,0.0,1,6,4
2019-03-15 08,13.73,91.08,13.15,11.8,15.58,1020,1.5,320,0.0,1,2,4
2019-03-15 09,17.9,77.8,15.49,15.0,19.0,1021,2.6,280,0.0,1,0,3
2019-03-15 10,22.07,62.55,19.53,19.0,23.33,1017,3.1,290,0.0,1,0,3
2019-03-15 11,24.8,45.1,21.59,22.0,23.05,1021,2.6,320,0.0,1,0,3
2019-03-15 12,26.75,37.52,22.11,22.8,23.37,1020,2.6,20,0.0,1,0,3
2019-03-15 13,27.7,31.45,23.33,24.0,25.56,1015,3.1,320,0.0,1,0,3
2019-03-15 14,27.7,30.93,24.51,24.44,26.05,1014,2.1,320,0.0,20,0,2
2019-03-15 15,27.5,33.33,24.84,24.44,26.0,1013,1.5,320,0.0,40,0,2
2019-03-15 16,26.68,34.8,23.4,23.0,26.0,1013,3.1,270,0.0,20,0,2
2019-03-15 17,25.15,38.6,24.53,23.0,25.0,1013,1.5,290,0.0,20,0,2
2019-03-15 18,23.05,47.5,23.77,22.0,24.44,1013,1.0,270,0.0,1,0,6
2019-03-15 19,20.38,59.55,22.35,21.0,22.22,1017,1.0,270,0.0,1,0,3
2019-03-15 20,19.1,66.4,21.19,19.4,20.14,1018,1.0,270,0.0,0,2,4
2019-03-15 21,18.07,71.3,20.98,19.4,20.0,1018,1.0,270,0.0,0,2,5
2019-03-15 22,17.25,75.85,19.57,17.6,19.0,1018,1.0,290,0.0,0,2,5
2019-03-15 23,16.77,82.08,18.8,17.51,18.0,1019,1.0,290,0.0,0,2,5
2019-03-16 00,16.55,80.25,15.83,17.0,17.3,1018,3.1,280,0.0,1,2,5
2019-03-16 01,15.73,81.22,17.19,15.6,17.0,1018,1.0,290,0.0,0,2,4
2019-03-16 02,14.35,90.1,17.13,15.52,17.0,1017,1.0,290,0.0,0,2,4
2019-03-16 03,14.32,89.72,15.18,13.68,15.6,1017,1.0,290,0.0,1,2,4
2019-03-16 04,13.73,92.45,12.22,13.0,13.27,1017,2.1,260,0.0,20,2,5
2019-03-16 05,13.18,93.47,13.0,12.0,14.22,1017,1.0,290,0.0,3,2,4
2019-03-16 06,12.4,95.28,13.33,13.0,14.2,1017,1.54,270,0.0,20,2,4
2019-03-16 07,12.42,95.0,14.49,13.0,16.4,1017,1.54,270,0.0,20,2,5
2019-03-16 08,16.1,80.68,15.38,15.0,15.8,1018,1.5,290,0.0,40,2,5
2019-03-16 09,20.05,63.2,16.29,15.2,17.0,1019,1.5,290,0.0,40,2,5
2019-03-16 10,22.88,47.75,22.27,20.0,24.44,1014,1.03,350,0.0,20,0,5
2019-03-16 11,25.48,37.83,21.2,22.0,25.0,1013,4.1,290,0.0,20,0,4
2019-03-16 12,26.98,28.98,22.05,23.2,25.0,1013,4.12,270,0.0,20,0,3
2019-03-16 13,27.57,26.05,22.64,24.0,25.79,1012,4.12,270,0.0,20,0,2
2019-03-16 14,27.8,25.65,24.58,25.56,26.32,1011,3.1,270,0.0,40,0,2
2019-03-16 15,28.1,25.98,25.18,24.88,26.0,1011,1.5,300,0.0,40,0,2
2019-03-16 16,26.67,27.48,24.88,23.8,26.0,1010,1.5,290,0.0,40,0,6
2019-03-16 17,25.25,30.8,24.62,23.8,26.0,1010,1.54,290,0.0,40,0,5
2019-03-16 18,23.32,41.3,21.57,23.0,24.01,1014,3.1,260,0.0,40,0,3
2019-03-16 19,20.9,50.48,19.94,21.0,22.5,1016,2.6,270,0.0,40,0,3
2019-03-16 20,19.95,53.28,20.9,19.8,21.0,1016,2.04,300,0.0,20,0,4
2019-03-16 21,18.98,57.65,20.11,19.77,20.19,1016,2.13,305,0.0,20,0,4
2019-03-16 22,18.55,60.23,19.5,17.2,20.0,1016,2.0,309,0.0,20,2,5
2019-03-16 23,17.9,63.33,18.82,17.18,19.0,1016,1.84,317,0.0,20,2,5
2019-03-17 00,16.8,69.53,18.87,17.19,19.0,1015,1.78,323,0.0,20,2,5
2019-03-17 01,17.0,67.83,17.43,15.8,18.0,1014,1.93,328,0.0,20,2,5
2019-03-17 02,16.85,68.8,16.69,15.78,17.0,1014,1.91,327,0.0,20,2,5
2019-03-17 03,16.52,71.22,16.74,15.37,17.0,1014,1.63,335,0.0,20,2,5
2019-03-17 04,16.02,76.22,15.82,14.61,17.0,1014,2.25,308,0.0,75,6,6
2019-03-17 05,15.08,84.65,15.22,14.78,16.0,1014,1.83,285,0.0,75,6,6
2019-03-17 06,14.52,90.28,14.09,14.0,15.23,1015,1.8,278,0.0,75,6,6
2019-03-17 07,14.73,90.22,14.56,15.0,16.51,1016,2.53,276,0.0,75,6,6
2019-03-17 08,15.62,85.28,16.82,16.0,18.0,1017,1.0,270,0.0,40,0,6
2019-03-17 09,20.73,61.32,18.69,16.4,19.0,1017,1.03,270,0.0,40,7,6
2019-03-17 10,24.7,39.38,21.65,22.0,25.0,1012,4.1,270,0.0,40,7,5
2019-03-17 11,27.07,31.4,22.45,24.0,25.19,1013,4.1,270,0.0,40,0,4
2019-03-17 12,28.67,26.5,24.07,24.2,27.0,1013,3.1,230,0.0,40,0,3
2019-03-17 13,29.77,23.2,24.06,25.56,27.3,1011,4.1,270,0.0,40,0,3
