timestamp,Temperature,Humidity,feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,weather,AQI
2019-03-13 22,16.93,72.38,17.08,17.54,19.0,1017,1.91,353,0.0,20,0,5
2019-03-13 23,16.3,76.97,17.41,15.6,18.0,1017,2.31,347,0.0,20,2,5
2019-03-14 00,15.7,77.25,15.44,16.64,17.12,1017,2.56,354,0.0,20,0,5
2019-03-14 01,14.93,80.62,14.43,15.55,16.26,1016,2.62,3,0.0,20,0,5
2019-03-14 02,14.52,86.95,14.73,13.6,16.0,1016,2.67,8,0.0,20,2,5
2019-03-14 03,14.1,90.2,14.84,13.6,16.0,1016,2.2,20,0.0,20,2,5
2019-03-14 04,13.93,91.83,14.48,13.2,16.0,1016,2.42,22,0.0,40,2,5
2019-03-14 05,13.82,90.82,13.54,13.0,15.5,1016,2.07,23,0.0,40,2,5
2019-03-14 06,14.02,87.52,13.17,13.0,15.27,1016,2.15,28,0.0,40,6,5
2019-03-14 07,13.68,90.42,14.63,13.0,16.65,1017,1.83,35,0.0,40,6,5
2019-03-14 08,15.57,83.17,17.09,16.0,18.0,1018,1.8,17,0.0,40,2,5
2019-03-14 09,19.25,64.97,19.44,16.6,21.0,1018,1.0,20,0.0,40,2,6
2019-03-14 10,22.57,49.48,22.8,21.41,24.6,1014,2.6,30,0.0,40,0,5
2019-03-14 11,25.23,36.4,21.81,21.0,24.6,1015,3.1,340,0.11,75,4,5
2019-03-14 12,23.45,45.27,20.78,21.56,25.0,1014,5.1,350,0.0,40,0,5
2019-03-14 13,24.55,43.58,21.98,21.1,23.25,1017,2.6,310,0.0,75,0,4
2019-03-14 14,23.7,43.05,19.43,20.46,22.31,1017,4.1,320,0.5,90,4,3
2019-03-14 15,21.23,51.08,17.89,19.19,21.0,1016,5.1,320,0.5,90,4,2
2019-03-14 16,22.4,42.83,18.06,16.8,21.0,1016,4.1,290,0.0,90,0,1
2019-03-14 17,20.53,48.2,18.44,16.8,20.4,1016,3.1,290,0.11,90,4,2
2019-03-14 18,19.35,53.75,18.76,16.8,20.99,1016,2.1,320,0.0,75,0,2
2019-03-14 19,18.45,54.85,18.05,17.8,19.37,1016,2.1,320,0.0,75,0,2
2019-03-14 20,17.8,58.6,16.98,17.0,17.82,1016,2.08,339,0.0,40,2,2
2019-03-14 21,17.2,61.7,16.26,16.0,17.55,1017,2.04,335,0.0,40,2,2
2019-03-14 22,15.85,69.0,14.97,13.8,16.0,1017,1.93,326,0.0,20,2,3
2019-03-14 23,14.73,77.43,14.02,13.8,15.0,1017,2.07,325,0.0,20,2,3
2019-03-15 00,14.3,82.7,13.86,13.8,15.0,1018,2.3,329,0.0,20,2,3
2019-03-15 01,13.48,87.93,12.73,13.2,14.0,1018,2.1,270,0.0,20,2,3
2019-03-15 02,13.3,88.25,12.1,13.0,13.62,1017,2.1,270,0.0,20,2,3
2019-03-15 03,13.47,85.6,11.81,12.38,13.2,1017,2.1,270,0.0,20,2,3
2019-03-15 04,13.07,88.03,11.46,12.0,12.81,1017,1.5,270,0.0,20,2,3
2019-03-15 05,12.68,88.2,11.8,12.0,13.85,1018,1.5,270,0.0,20,2,3
2019-03-15 06,12.68,88.05,10.61,11.0,13.88,1018,2.06,280,0.0,0,6,3
2019-03-15 07,12.32,88.6,11.07,11.0,15.4,1019,2.1,280,0.0,1,6,5
2019-03-15 08,14.35,79.12,13.15,11.8,15.58,1020,1.5,320,0.0,1,2,5
2019-03-15 09,18.02,63.43,15.49,15.0,19.0,1021,2.6,280,0.0,1,0,5
2019-03-15 10,21.97,49.17,19.53,19.0,23.33,1017,3.1,290,0.0,1,0,5
2019-03-15 11,24.3,41.17,21.59,22.0,23.05,1021,2.6,320,0.0,1,0,3
2019-03-15 12,25.95,36.7,22.11,22.8,23.37,1020,2.6,20,0.0,1,0,2
2019-03-15 13,26.65,32.45,23.33,24.0,25.56,1015,3.1,320,0.0,1,0,2
2019-03-15 14,27.42,29.9,24.51,24.44,26.05,1014,2.1,320,0.0,20,0,2
2019-03-15 15,27.5,29.25,24.84,24.44,26.0,1013,1.5,320,0.0,40,0,2
2019-03-15 16,27.23,28.6,23.4,23.0,26.0,1013,3.1,270,0.0,20,0,2
