timestamp,Temperature,Humidity,feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,weather,AQI
2019-03-13 22,17.33,80.4,17.08,17.54,19.0,1017,1.91,353,0.0,20,0,4
2019-03-13 23,16.9,81.22,17.41,15.6,18.0,1017,2.31,347,0.0,20,2,5
2019-03-14 00,16.0,81.27,15.44,16.64,17.12,1017,2.56,354,0.0,20,0,5
2019-03-14 01,15.23,86.9,14.43,15.55,16.26,1016,2.62,3,0.0,20,0,5
2019-03-14 02,14.5,93.25,14.73,13.6,16.0,1016,2.67,8,0.0,20,2,5
2019-03-14 03,14.15,94.67,14.84,13.6,16.0,1016,2.2,20,0.0,20,2,5
2019-03-14 04,13.6,96.6,14.48,13.2,16.0,1016,2.42,22,0.0,40,2,5
2019-03-14 05,13.48,98.1,13.54,13.0,15.5,1016,2.07,23,0.0,40,2,5
2019-03-14 06,13.7,97.62,13.17,13.0,15.27,1016,2.15,28,0.0,40,6,5
2019-03-14 07,13.57,98.1,14.63,13.0,16.65,1017,1.83,35,0.0,40,6,5
2019-03-14 08,15.73,87.6,17.09,16.0,18.0,1018,1.8,17,0.0,40,2,5
2019-03-14 09,18.4,72.4,19.44,16.6,21.0,1018,1.0,20,0.0,40,2,5
2019-03-14 10,21.6,54.6,22.8,21.41,24.6,1014,2.6,30,0.0,40,0,5
2019-03-14 11,23.88,39.45,21.81,21.0,24.6,1015,3.1,340,0.11,75,4,5
2019-03-14 12,23.27,45.45,20.78,21.56,25.0,1014,5.1,350,0.0,40,0,3
2019-03-14 13,23.65,49.35,21.98,21.1,23.25,1017,2.6,310,0.0,75,0,3
2019-03-14 14,23.23,47.17,19.43,20.46,22.31,1017,4.1,320,0.5,90,4,3
2019-03-14 15,21.35,51.97,17.89,19.19,21.0,1016,5.1,320,0.5,90,4,2
2019-03-14 16,22.4,45.92,18.06,16.8,21.0,1016,4.1,290,0.0,90,0,1
2019-03-14 17,20.8,52.03,18.44,16.8,20.4,1016,3.1,290,0.11,90,4,1
2019-03-14 18,19.68,57.92,18.76,16.8,20.99,1016,2.1,320,0.0,75,0,1
2019-03-14 19,19.35,57.27,18.05,17.8,19.37,1016,2.1,320,0.0,75,0,1
2019-03-14 20,18.45,62.02,16.98,17.0,17.82,1016,2.08,339,0.0,40,2,2
2019-03-14 21,17.88,63.9,16.26,16.0,17.55,1017,2.04,335,0.0,40,2,2
2019-03-14 22,16.65,71.25,14.97,13.8,16.0,1017,1.93,326,0.0,20,2,3
2019-03-14 23,14.88,84.22,14.02,13.8,15.0,1017,2.07,325,0.0,20,2,3
2019-03-15 00,14.47,88.55,13.86,13.8,15.0,1018,2.3,329,0.0,20,2,4
2019-03-15 01,13.62,93.62,12.73,13.2,14.0,1018,2.1,270,0.0,20,2,4
2019-03-15 02,13.12,97.25,12.1,13.0,13.62,1017,2.1,270,0.0,20,2,4
2019-03-15 03,13.2,96.35,11.81,12.38,13.2,1017,2.1,270,0.0,20,2,4
2019-03-15 04,12.65,96.92,11.46,12.0,12.81,1017,1.5,270,0.0,20,2,3
2019-03-15 05,12.18,97.85,11.8,12.0,13.85,1018,1.5,270,0.0,20,2,3
2019-03-15 06,12.03,98.45,10.61,11.0,13.88,1018,2.06,280,0.0,0,6,3
2019-03-15 07,12.28,95.5,11.07,11.0,15.4,1019,2.1,280,0.0,1,6,4
2019-03-15 08,13.35,90.12,13.15,11.8,15.58,1020,1.5,320,0.0,1,2,5
2019-03-15 09,17.65,69.35,15.49,15.0,19.0,1021,2.6,280,0.0,1,0,5
2019-03-15 10,20.45,55.8,19.53,19.0,23.33,1017,3.1,290,0.0,1,0,5
2019-03-15 11,22.12,50.5,21.59,22.0,23.05,1021,2.6,320,0.0,1,0,3
2019-03-15 12,23.9,43.33,22.11,22.8,23.37,1020,2.6,20,0.0,1,0,2
2019-03-15 13,25.38,38.0,23.33,24.0,25.56,1015,3.1,320,0.0,1,0,2
2019-03-15 14,26.52,35.1,24.51,24.44,26.05,1014,2.1,320,0.0,20,0,2
2019-03-15 15,26.88,34.05,24.84,24.44,26.0,1013,1.5,320,0.0,40,0,2
2019-03-15 16,26.33,34.33,23.4,23.0,26.0,1013,3.1,270,0.0,20,0,2
2019-03-15 17,24.62,38.77,24.53,23.0,25.0,1013,1.5,290,0.0,20,0,1
2019-03-15 18,23.6,44.95,23.77,22.0,24.44,1013,1.0,270,0.0,1,0,1
2019-03-15 19,22.35,50.33,22.35,21.0,22.22,1017,1.0,270,0.0,1,0,1
2019-03-15 20,21.27,54.88,21.19,19.4,20.14,1018,1.0,270,0.0,0,2,2
2019-03-15 21,20.55,59.05,20.98,19.4,20.0,1018,1.0,270,0.0,0,2,2
2019-03-15 22,20.17,62.17,19.57,17.6,19.0,1018,1.0,290,0.0,0,2,2
2019-03-15 23,19.78,64.2,18.8,17.51,18.0,1019,1.0,290,0.0,0,2,2
2019-03-16 00,19.05,65.8,15.83,17.0,17.3,1018,3.1,280,0.0,1,2,3
2019-03-16 01,18.55,62.93,17.19,15.6,17.0,1018,1.0,290,0.0,0,2,3
2019-03-16 02,18.1,63.12,17.13,15.52,17.0,1017,1.0,290,0.0,0,2,3
2019-03-16 03,17.23,67.05,15.18,13.68,15.6,1017,1.0,290,0.0,1,2,2
2019-03-16 04,16.07,72.57,12.22,13.0,13.27,1017,2.1,260,0.0,20,2,2
2019-03-16 05,15.73,73.98,13.0,12.0,14.22,1017,1.0,290,0.0,3,2,2
2019-03-16 06,15.8,72.8,13.33,13.0,14.2,1017,1.54,270,0.0,20,2,3
2019-03-16 07,15.32,76.85,14.49,13.0,16.4,1017,1.54,270,0.0,20,2,3
2019-03-16 08,16.4,73.28,15.38,15.0,15.8,1018,1.5,290,0.0,40,2,3
2019-03-16 09,19.58,57.3,16.29,15.2,17.0,1019,1.5,290,0.0,40,2,3
2019-03-16 10,20.75,51.83,22.27,20.0,24.44,1014,1.03,350,0.0,20,0,3
2019-03-16 11,22.3,45.08,21.2,22.0,25.0,1013,4.1,290,0.0,20,0,3
2019-03-16 12,23.95,38.88,22.05,23.2,25.0,1013,4.12,270,0.0,20,0,3
2019-03-16 13,25.68,31.1,22.64,24.0,25.79,1012,4.12,270,0.0,20,0,2
2019-03-16 14,27.2,27.23,24.58,25.56,26.32,1011,3.1,270,0.0,40,0,2
2019-03-16 15,26.9,27.45,25.18,24.88,26.0,1011,1.5,300,0.0,40,0,2
2019-03-16 16,26.82,27.75,24.88,23.8,26.0,1010,1.5,290,0.0,40,0,2
2019-03-16 17,25.43,31.9,24.62,23.8,26.0,1010,1.54,290,0.0,40,0,2
2019-03-16 18,24.43,34.05,21.57,23.0,24.01,1014,3.1,260,0.0,40,0,2
2019-03-16 19,22.77,40.45,19.94,21.0,22.5,1016,2.6,270,0.0,40,0,2
2019-03-16 20,21.17,48.88,20.9,19.8,21.0,1016,2.04,300,0.0,20,0,2
2019-03-16 21,20.17,52.15,20.11,19.77,20.19,1016,2.13,305,0.0,20,0,2
2019-03-16 22,19.8,55.88,19.5,17.2,20.0,1016,2.0,309,0.0,20,2,3
2019-03-16 23,19.15,61.3,18.82,17.18,19.0,1016,1.84,317,0.0,20,2,3
2019-03-17 00,17.52,72.65,18.87,17.19,19.0,1015,1.78,323,0.0,20,2,3
2019-03-17 01,16.98,77.1,17.43,15.8,18.0,1014,1.93,328,0.0,20,2,3
2019-03-17 02,18.35,69.3,16.69,15.78,17.0,1014,1.91,327,0.0,20,2,4
2019-03-17 03,16.28,82.1,16.74,15.37,17.0,1014,1.63,335,0.0,20,2,3
2019-03-17 04,16.45,81.1,15.82,14.61,17.0,1014,2.25,308,0.0,75,6,3
2019-03-17 05,16.45,78.1,15.22,14.78,16.0,1014,1.83,285,0.0,75,6,3
2019-03-17 06,15.75,80.78,14.09,14.0,15.23,1015,1.8,278,0.0,75,6,4
2019-03-17 07,15.45,82.57,14.56,15.0,16.51,1016,2.53,276,0.0,75,6,5
2019-03-17 08,16.48,77.53,16.82,16.0,18.0,1017,1.0,270,0.0,40,0,5
2019-03-17 09,19.1,65.5,18.69,16.4,19.0,1017,1.03,270,0.0,40,7,5
2019-03-17 10,21.98,50.72,21.65,22.0,25.0,1012,4.1,270,0.0,40,7,5
2019-03-17 11,23.83,39.47,22.45,24.0,25.19,1013,4.1,270,0.0,40,0,4
2019-03-17 12,25.5,32.08,24.07,24.2,27.0,1013,3.1,230,0.0,40,0,2
2019-03-17 13,27.2,25.25,24.06,25.56,27.3,1011,4.1,270,0.0,40,0,2
2019-03-17 14,27.98,24.15,26.34,26.6,28.0,1014,2.6,230,0.0,40,0,2
2019-03-17 15,28.65,22.08,25.82,25.56,28.0,1009,2.6,230,0.0,20,0,2
2019-03-17 16,28.35,23.92,24.93,24.8,28.0,1009,3.1,250,0.0,1,0,1
2019-03-17 17,26.75,29.72,24.03,25.0,26.67,1009,4.1,270,0.0,1,0,2
2019-03-17 18,25.68,32.95,24.11,24.0,25.34,1013,2.1,290,0.0,1,0,1
2019-03-17 19,24.1,39.58,22.91,22.38,24.0,1013,2.1,290,0.0,1,0,1
2019-03-17 20,22.77,42.98,22.66,20.2,22.0,1014,1.0,320,0.0,0,0,2
2019-03-17 21,21.0,51.73,22.47,19.01,22.17,1015,1.0,320,0.0,0,0,2
2019-03-17 22,21.05,55.15,19.6,17.02,21.0,1015,2.81,340,0.0,0,2,2
2019-03-17 23,19.78,63.3,18.53,16.36,20.0,1014,2.78,345,0.0,0,2,3
2019-03-18 00,18.32,71.72,17.9,16.22,19.0,1014,2.68,336,0.0,0,2,3
2019-03-18 01,17.43,79.58,17.53,14.94,19.0,1014,2.36,337,0.0,0,2,3
2019-03-18 02,16.8,82.28,16.04,14.46,17.0,1014,2.24,352,0.0,0,2,4
2019-03-18 03,15.73,86.58,15.61,12.94,17.0,1013,2.09,348,0.0,0,2,3
2019-03-18 04,15.15,89.12,15.2,12.83,16.0,1014,1.0,270,0.0,0,2,3
2019-03-18 05,14.6,91.1,14.94,13.4,15.0,1014,1.0,270,0.0,0,2,4
2019-03-18 06,14.62,91.68,13.5,14.0,14.31,1014,2.17,328,0.0,0,6,5
2019-03-18 07,14.35,92.78,14.83,13.6,18.4,1015,2.08,335,0.0,1,6,5
2019-03-18 08,16.05,85.5,17.68,16.29,18.4,1016,1.05,336,0.0,1,2,5
2019-03-18 09,21.12,59.45,18.46,13.6,21.0,1016,1.5,240,0.0,1,0,5
2019-03-18 10,23.0,47.9,22.91,22.91,25.56,1013,2.1,250,0.0,1,0,5
