timestamp,Temperature,Humidity,feels_like,temp_min,temp_max,pressure,wind_speed,wind_deg,rain,clouds_all,weather,AQI
2019-03-16 15,26.35,33.08,25.18,24.88,26.0,1011,1.5,300,0.0,40,0,2
2019-03-16 16,25.88,34.1,24.88,23.8,26.0,1010,1.5,290,0.0,40,0,2
2019-03-16 17,24.47,37.6,24.62,23.8,26.0,1010,1.54,290,0.0,40,0,2
2019-03-16 18,22.3,46.4,21.57,23.0,24.01,1014,3.1,260,0.0,40,0,2
2019-03-16 19,19.67,58.67,19.94,21.0,22.5,1016,2.6,270,0.0,40,0,2
2019-03-16 20,18.28,64.4,20.9,19.8,21.0,1016,2.04,300,0.0,20,0,2
2019-03-16 21,18.33,64.4,20.11,19.77,20.19,1016,2.13,305,0.0,20,0,4
2019-03-16 22,20.0,54.8,19.5,17.2,20.0,1016,2.0,309,0.0,20,2,5
2019-03-16 23,17.95,67.22,18.82,17.18,19.0,1016,1.84,317,0.0,20,2,3
2019-03-17 00,15.32,81.3,18.87,17.19,19.0,1015,1.78,323,0.0,20,2,3
2019-03-17 01,15.68,79.85,17.43,15.8,18.0,1014,1.93,328,0.0,20,2,4
2019-03-17 02,17.93,64.47,16.69,15.78,17.0,1014,1.91,327,0.0,20,2,5
2019-03-17 03,15.3,78.9,16.74,15.37,17.0,1014,1.63,335,0.0,20,2,5
2019-03-17 04,14.6,84.4,15.82,14.61,17.0,1014,2.25,308,0.0,75,6,5
2019-03-17 05,14.18,86.1,15.22,14.78,16.0,1014,1.83,285,0.0,75,6,5
2019-03-17 06,13.2,91.55,14.09,14.0,15.23,1015,1.8,278,0.0,75,6,5
2019-03-17 07,12.88,93.57,14.56,15.0,16.51,1016,2.53,276,0.0,75,6,5
2019-03-17 08,13.72,88.97,16.82,16.0,18.0,1017,1.0,270,0.0,40,0,5
2019-03-17 09,17.73,71.42,18.69,16.4,19.0,1017,1.03,270,0.0,40,7,5
2019-03-17 10,21.88,53.88,21.65,22.0,25.0,1012,4.1,270,0.0,40,7,6
2019-03-17 11,24.8,43.05,22.45,24.0,25.19,1013,4.1,270,0.0,40,0,4
2019-03-17 12,26.2,35.38,24.07,24.2,27.0,1013,3.1,230,0.0,40,0,3
2019-03-17 13,27.55,32.58,24.06,25.56,27.3,1011,4.1,270,0.0,40,0,2
2019-03-17 14,27.57,32.88,26.34,26.6,28.0,1014,2.6,230,0.0,40,0,2
2019-03-17 15,28.2,31.15,25.82,25.56,28.0,1009,2.6,230,0.0,20,0,2
2019-03-17 16,28.02,31.75,24.93,24.8,28.0,1009,3.1,250,0.0,1,0,2
