timestamp,feels_like,temp_min,temp_max,humidity,pressure,wind_speed,wind_deg,rain,clouds_all,weather
2019-03-17 04,15.82,14.61,17.0,87,1014,2.25,308,0.0,75,6
2019-03-17 05,15.22,14.78,16.0,87,1014,1.83,285,0.0,75,6
2019-03-17 06,14.09,14.0,15.23,87,1015,1.8,278,0.0,75,6
2019-03-17 07,14.56,15.0,16.51,87,1016,2.53,276,0.0,75,6
2019-03-17 08,16.82,16.0,18.0,72,1017,1.0,270,0.0,40,0
2019-03-17 09,18.69,16.4,19.0,73,1017,1.03,270,0.0,40,7
2019-03-17 10,21.65,22.0,25.0,56,1012,4.1,270,0.0,40,7
2019-03-17 11,22.45,24.0,25.19,47,1013,4.1,270,0.0,40,0
2019-03-17 12,24.07,24.2,27.0,42,1013,3.1,230,0.0,40,0
2019-03-17 13,24.06,25.56,27.3,39,1011,4.1,270,0.0,40,0
2019-03-17 14,26.34,26.6,28.0,39,1014,2.6,230,0.0,40,0
2019-03-17 15,25.82,25.56,28.0,39,1009,2.6,230,0.0,20,0
2019-03-17 16,24.93,24.8,28.0,37,1009,3.1,250,0.0,1,0
2019-03-17 17,24.03,25.0,26.67,44,1009,4.1,270,0.0,1,0
2019-03-17 18,24.11,24.0,25.34,53,1013,2.1,290,0.0,1,0
2019-03-17 19,22.91,22.38,24.0,53,1013,2.1,290,0.0,1,0
2019-03-17 20,22.66,20.2,22.0,74,1014,1.0,320,0.0,0,0
2019-03-17 21,22.47,19.01,22.17,74,1015,1.0,320,0.0,0,0
2019-03-17 22,19.6,17.02,21.0,87,1015,2.81,340,0.0,0,2
2019-03-17 23,18.53,16.36,20.0,87,1014,2.78,345,0.0,0,2
2019-03-18 00,17.9,16.22,19.0,87,1014,2.68,336,0.0,0,2
2019-03-18 01,17.53,14.94,19.0,95,1014,2.36,337,0.0,0,2
2019-03-18 02,16.04,14.46,17.0,95,1014,2.24,352,0.0,0,2
2019-03-18 03,15.61,12.94,17.0,95,1013,2.09,348,0.0,0,2
2019-03-18 04,15.2,12.83,16.0,97,1014,1.0,270,0.0,0,2
2019-03-18 05,14.94,13.4,15.0,97,1014,1.0,270,0.0,0,2
2019-03-18 06,13.5,14.0,14.31,94,1014,2.17,328,0.0,0,6
2019-03-18 07,14.83,13.6,18.4,93,1015,2.08,335,0.0,1,6
2019-03-18 08,17.68,16.29,18.4,77,1016,1.05,336,0.0,1,2
2019-03-18 09,18.46,13.6,21.0,67,1016,1.5,240,0.0,1,0
2019-03-18 10,22.91,22.91,25.56,53,1013,2.1,250,0.0,1,0
2019-03-18 11,25.54,24.0,26.0,50,1013,1.5,270,0.0,1,0
2019-03-18 12,26.37,25.56,26.21,50,1012,1.5,340,0.0,1,0
2019-03-18 13,26.01,26.0,28.13,47,1011,3.1,300,0.0,1,0
2019-03-18 14,27.25,27.4,28.89,39,1014,2.36,292,0.0,10,0
2019-03-18 15,25.95,26.67,28.0,37,1010,3.08,300,0.0,52,0
2019-03-18 16,25.86,25.0,28.0,42,1010,3.01,304,0.0,100,0
2019-03-18 17,26.07,25.0,27.0,44,1010,2.1,270,0.0,40,0
2019-03-18 18,24.59,24.0,25.29,53,1013,1.5,270,0.0,40,0
2019-03-18 19,24.14,23.74,24.11,53,1013,1.5,270,0.0,40,0
2019-03-18 20,22.31,21.14,23.2,60,1013,2.57,317,0.0,40,0
2019-03-18 21,20.98,20.83,23.2,60,1013,2.41,324,0.0,40,0
2019-03-18 22,20.91,17.2,21.0,92,1014,2.4,322,0.0,40,2
2019-03-18 23,18.68,17.15,19.0,92,1013,2.46,325,0.0,40,2
2019-03-19 00,18.64,16.8,19.0,92,1013,2.36,334,0.0,40,2
2019-03-19 01,16.71,15.25,18.0,91,1012,2.51,339,0.0,40,2
2019-03-19 02,16.85,15.6,18.0,91,1012,2.46,341,0.0,40,2
2019-03-19 03,16.06,14.36,17.0,91,1011,2.06,347,0.0,40,2
2019-03-19 04,14.85,14.4,16.0,93,1011,2.05,346,0.0,20,2
2019-03-19 05,15.09,15.37,16.0,82,1011,2.39,331,0.0,20,2
2019-03-19 06,15.27,15.0,15.29,88,1012,1.03,250,0.0,20,6
2019-03-19 07,16.28,15.0,19.2,87,1012,1.0,250,0.0,20,6
2019-03-19 08,19.22,16.4,19.2,82,1012,1.0,230,0.0,1,2
2019-03-19 09,21.21,16.4,23.0,60,1012,1.0,270,0.0,1,0
2019-03-19 10,24.7,24.0,26.0,53,1012,2.1,260,0.0,1,0
2019-03-19 11,27.74,26.0,27.88,51,1009,1.5,240,0.0,1,0
2019-03-19 12,28.46,26.0,29.0,42,1008,1.5,250,0.0,1,0
2019-03-19 13,30.41,29.4,30.25,40,1010,1.5,320,0.0,1,0
2019-03-19 14,30.85,30.01,31.0,37,1010,2.1,260,0.0,1,0
2019-03-19 15,30.85,28.94,31.0,40,1009,1.5,350,0.0,1,0
2019-03-19 16,30.5,27.4,31.0,40,1004,1.0,320,0.0,1,0
2019-03-19 17,30.54,27.78,30.0,42,1004,1.0,290,0.0,1,0
2019-03-19 18,29.14,27.14,29.0,54,1005,2.53,65,0.0,1,0
2019-03-19 19,27.21,23.91,28.0,54,1004,2.47,73,0.0,1,0
2019-03-19 20,25.76,21.6,26.67,77,1004,2.65,78,0.0,2,2
2019-03-19 21,24.0,21.09,24.0,77,1010,2.64,91,0.0,9,2
2019-03-19 22,21.18,19.2,21.0,86,1010,2.68,108,0.0,5,2
2019-03-19 23,21.07,19.1,21.0,86,1010,2.7,120,0.0,0,2
2019-03-20 00,21.07,18.99,21.0,86,1010,2.71,120,0.0,2,2
2019-03-20 01,21.29,18.0,22.0,89,1009,2.68,116,0.0,30,2
2019-03-20 02,20.63,18.0,21.0,89,1008,2.78,112,0.0,36,2
2019-03-20 03,19.5,17.79,20.0,89,1008,3.05,114,0.0,37,2
2019-03-20 04,17.98,18.07,19.17,63,1008,2.1,90,0.0,1,0
2019-03-20 05,18.26,17.0,20.01,89,1008,2.85,120,0.0,20,2
2019-03-20 06,20.68,18.91,20.0,78,1009,1.03,140,0.0,40,2
2019-03-20 07,20.98,19.0,21.4,77,1009,1.0,140,0.0,40,2
2019-03-20 08,22.76,20.0,24.0,64,1010,1.5,140,0.0,40,0
2019-03-20 09,24.85,20.0,28.33,50,1007,1.5,150,0.0,40,0
2019-03-20 10,27.35,26.78,29.0,45,1007,4.1,170,0.0,40,0
2019-03-20 11,28.67,27.6,31.0,43,1007,4.1,200,0.0,40,0
2019-03-20 12,30.14,27.6,31.0,48,1006,3.1,150,0.0,75,0
2019-03-20 13,32.65,28.89,34.0,41,1006,3.1,160,0.0,20,0
2019-03-20 14,33.33,29.6,34.0,38,1008,3.1,230,0.0,40,0
2019-03-20 15,33.4,28.33,34.0,41,1004,1.0,210,0.0,75,0
2019-03-20 16,28.99,25.0,32.0,27,1004,1.5,160,0.0,75,0
2019-03-20 17,29.53,25.0,32.0,35,1004,1.0,250,0.0,75,0
2019-03-20 18,28.54,24.98,29.0,42,1004,1.0,10,0.0,75,0
2019-03-20 19,28.18,23.89,29.0,42,1005,1.0,10,0.0,75,0
2019-03-20 20,27.35,23.63,28.33,53,1004,1.5,50,0.0,20,0
2019-03-20 21,26.85,23.75,28.33,53,1005,1.5,50,0.0,20,0
2019-03-20 22,24.59,21.8,25.0,73,1011,2.61,90,0.0,40,0
2019-03-20 23,24.58,21.48,25.0,73,1011,2.32,82,0.0,40,0
2019-03-21 00,23.84,21.11,24.0,73,1011,2.28,69,0.0,40,0
2019-03-21 01,22.35,19.3,23.0,74,1011,2.17,59,0.0,40,2
2019-03-21 02,22.02,18.24,23.0,74,1010,2.11,58,0.0,40,2
2019-03-21 03,20.21,17.43,21.0,74,1010,2.36,47,0.0,40,2
2019-03-21 04,19.67,17.24,20.0,80,1010,1.5,320,0.0,20,2
2019-03-21 05,21.31,18.1,22.0,80,1011,1.5,320,0.0,20,2
2019-03-21 06,19.57,17.85,19.0,83,1012,1.5,1,0.0,0,2
2019-03-21 07,19.43,18.0,20.6,82,1012,2.12,2,0.0,1,2
2019-03-21 08,21.16,19.4,22.0,68,1013,2.1,270,0.0,1,0
2019-03-21 09,23.51,19.4,27.22,50,1010,1.5,90,0.0,1,0
2019-03-21 10,26.58,24.75,27.78,39,1011,1.0,20,0.0,1,0
2019-03-21 11,26.83,27.0,30.0,30,1010,2.1,20,0.0,40,0
2019-03-21 12,27.35,27.0,31.0,27,1010,2.1,50,0.0,20,0
2019-03-21 13,28.84,29.0,32.0,24,1013,1.5,50,0.0,20,0
2019-03-21 14,29.38,29.8,31.01,25,1012,1.0,50,0.0,1,0
2019-03-21 15,29.51,28.33,31.0,29,1008,1.0,290,0.0,20,0
2019-03-21 16,28.67,28.33,30.0,28,1007,1.0,360,0.0,40,0
2019-03-21 17,28.19,27.86,29.2,37,1007,2.1,340,0.0,40,0
2019-03-21 18,27.76,27.2,28.53,39,1008,1.5,10,0.0,40,0
2019-03-21 19,27.34,24.6,28.33,54,1008,2.34,345,0.0,20,0
2019-03-21 20,25.18,24.14,26.0,54,1013,2.51,348,0.0,20,0
2019-03-21 21,24.19,23.52,25.0,54,1013,2.74,352,0.0,20,0
2019-03-21 22,24.03,21.25,27.22,62,1009,2.94,354,0.0,20,0
2019-03-21 23,21.35,20.79,23.0,62,1014,3.19,355,0.0,20,0
2019-03-22 00,21.06,20.63,23.0,62,1014,3.54,353,0.0,20,0
2019-03-22 01,18.94,19.64,22.0,50,1014,3.66,350,0.0,20,0
2019-03-22 02,19.0,19.4,22.0,50,1014,3.47,348,0.0,20,0
2019-03-22 03,17.27,17.9,21.5,50,1013,3.5,338,0.0,20,0
2019-03-22 04,16.79,17.6,19.0,68,1013,3.28,334,0.0,20,0
2019-03-22 05,17.11,17.6,19.0,68,1014,3.04,330,0.0,20,0
2019-03-22 06,16.36,17.0,18.29,72,1014,2.87,323,0.0,20,0
2019-03-22 07,17.66,17.0,19.4,72,1015,1.0,270,0.0,1,0
2019-03-22 08,17.98,17.8,20.0,56,1016,2.1,290,0.0,1,0
2019-03-22 09,19.62,17.8,23.0,46,1016,2.6,270,0.0,1,0
2019-03-22 10,24.23,24.05,27.78,36,1013,2.1,280,0.0,1,0
2019-03-22 11,24.36,27.0,28.33,30,1013,4.1,290,0.0,1,0
2019-03-22 12,23.48,27.0,29.0,25,1012,6.2,320,0.0,1,0
2019-03-22 13,24.58,28.2,29.72,25,1011,5.1,310,0.0,1,0
2019-03-22 14,23.59,28.2,30.25,25,1010,7.2,270,0.0,1,0
2019-03-22 15,25.95,27.78,30.0,25,1010,3.6,280,0.0,1,0
2019-03-22 16,23.64,26.6,29.0,28,1009,6.2,290,0.0,1,0
2019-03-22 17,24.49,26.0,28.89,32,1010,4.1,280,0.0,1,0
2019-03-22 18,24.0,26.0,27.18,36,1013,3.1,300,0.0,20,0
2019-03-22 19,22.39,24.0,26.0,36,1013,3.1,300,0.0,20,0
2019-03-22 20,22.26,21.72,23.0,52,1014,1.5,270,0.0,0,0
2019-03-22 21,21.31,20.8,22.6,52,1015,1.5,270,0.0,0,0
2019-03-22 22,20.25,19.1,22.0,68,1015,2.6,270,0.0,20,0
2019-03-22 23,18.81,18.69,20.0,68,1015,2.6,270,0.0,20,0
2019-03-23 00,18.01,18.18,19.4,68,1015,2.6,270,0.0,20,0
2019-03-23 01,16.66,17.15,18.5,67,1015,2.6,270,0.0,20,0
2019-03-23 02,16.75,17.25,18.5,67,1014,2.6,270,0.0,20,0
2019-03-23 03,14.49,16.01,17.0,63,1014,3.1,270,0.0,1,0
2019-03-23 04,13.37,16.0,16.69,67,1014,4.1,270,0.0,1,0
2019-03-23 05,14.96,16.0,18.2,67,1014,3.1,270,0.0,15,0
2019-03-23 06,16.1,16.86,18.2,68,1015,2.57,270,0.0,20,0
2019-03-23 07,17.03,18.0,20.4,67,1015,2.6,270,0.0,20,0
2019-03-23 08,19.74,18.6,21.0,56,1015,1.5,290,0.0,1,0
2019-03-23 09,19.87,18.6,24.0,43,1015,4.1,300,0.0,1,0
2019-03-23 10,22.96,24.95,26.2,44,1015,5.1,240,0.0,1,0
2019-03-23 11,24.61,26.2,28.0,34,1011,4.1,290,0.0,40,0
2019-03-23 12,25.76,27.3,28.36,37,1010,4.1,290,0.0,40,0
2019-03-23 13,26.84,28.8,29.9,35,1013,4.1,270,0.0,20,0
2019-03-23 14,25.85,28.8,31.32,30,1012,6.2,270,0.0,1,0
2019-03-23 15,24.68,28.33,30.0,28,1008,6.7,270,0.0,1,0
2019-03-23 16,25.85,27.2,29.68,30,1008,4.1,280,0.0,1,0
2019-03-23 17,26.94,27.2,29.19,34,1008,2.6,270,0.0,1,0
2019-03-23 18,26.14,26.0,28.89,42,1009,2.6,290,0.0,20,0
2019-03-23 19,25.32,25.68,27.0,42,1012,2.6,290,0.0,20,0
2019-03-23 20,23.54,23.54,24.04,52,1013,2.1,320,0.0,0,0
2019-03-23 21,22.97,22.86,24.0,52,1013,2.1,320,0.0,0,0
2019-03-23 22,21.81,21.04,22.2,58,1014,1.5,320,0.0,2,3
2019-03-23 23,21.79,20.87,22.2,58,1014,1.5,320,0.0,0,3
2019-03-24 00,21.79,20.89,22.2,58,1014,1.5,320,0.0,1,3
2019-03-24 01,19.02,19.51,21.0,49,1013,2.1,260,0.0,1,0
2019-03-24 02,17.61,19.02,20.0,49,1012,2.6,270,0.0,1,0
2019-03-24 03,17.27,18.25,20.0,49,1012,2.6,280,0.0,1,0
2019-03-24 04,16.71,18.0,18.68,59,1012,2.1,230,0.0,1,0
2019-03-24 05,16.47,16.0,19.92,69,1012,1.5,270,0.0,0,0
2019-03-24 06,16.08,15.0,19.83,68,1012,1.54,250,0.0,0,0
2019-03-24 07,17.91,17.0,20.87,67,1013,1.5,250,0.0,1,0
2019-03-24 08,18.35,18.8,20.92,59,1014,2.6,270,0.0,1,0
2019-03-24 09,18.97,18.8,23.0,49,1014,3.1,260,0.0,1,0
2019-03-24 10,24.89,24.0,28.2,41,1010,2.1,260,0.0,1,0
2019-03-24 11,26.92,28.0,29.52,35,1010,3.1,270,0.0,1,0
2019-03-24 12,26.85,28.89,30.08,30,1009,4.1,270,0.0,1,0
2019-03-24 13,30.21,31.0,31.87,31,1012,2.1,270,0.0,1,0
2019-03-24 14,30.7,30.0,32.21,31,1011,2.6,270,0.0,1,0
2019-03-24 15,31.21,29.4,32.0,37,1007,1.5,320,0.0,1,0
