f1_score_train,prec_score_train,rec_score_train,spec_score_train,f1_score_test,prec_score_test,rec_score_test,spec_score_test
1.0,1.0,1.0,1.0,0.0744306689592582,0.34678470146043583,0.1516661476175646,0.8044256879757811
1.0,1.0,1.0,1.0,0.36161459591699413,0.3763310850755413,0.37028962939894117,0.838618428485702
1.0,1.0,1.0,1.0,0.5038273544270038,0.5314245745130718,0.5378386795390844,0.8702763816340046
1.0,1.0,1.0,1.0,0.5785546060388048,0.5879091743077648,0.601993148551853,0.8908543473720766
1.0,1.0,1.0,1.0,0.6063981098022431,0.6120857860788691,0.6228589224540642,0.8981924199718796
1.0,1.0,1.0,1.0,0.6379007934872546,0.6399955211512227,0.6483961382746808,0.907353528514878
1.0,1.0,1.0,1.0,0.7354435373594609,0.7335133840691476,0.7408906882591093,0.9347125193761932
0.9998907069250982,0.9998907577247403,0.9998907223254289,0.999967023907667,0.7509404805521781,0.749079902010129,0.757085020242915,0.938660598913876
1.0,1.0,1.0,1.0,0.7480646345296533,0.7460142482668749,0.7542821550918717,0.938069510069667
0.9998055279278248,0.9998056479144516,0.9998055420515314,0.9999526467416375,0.7538631837505054,0.7518245580285803,0.7605107443164123,0.9395408938032312
0.9988722210138751,0.9988732499303726,0.9988719194724054,0.9997021928111213,0.7527161181118687,0.7506045680231614,0.7595764559327313,0.9392883719497991
0.9986219741201114,0.9986230603742678,0.9986216961245338,0.9996333016155587,0.7534456732134207,0.7510059433612772,0.7608221737776394,0.939667304003225
