f1_score_train,prec_score_train,rec_score_train,spec_score_train,f1_score_test,prec_score_test,rec_score_test,spec_score_test,train_dev,test_dev
0.9988921319010081,0.9988938537754086,0.9988924859430908,0.9996964725501922,0.5236663952109847,0.5619612543544841,0.5288032646863433,0.8808267661087348,[30],[18]
0.9994993762447121,0.9995001954152026,0.9994993324432577,0.9998589728522742,0.44062125346710396,0.5404492253576131,0.4600700233411137,0.8610597412474942,[34],[20]
0.9988921319010081,0.9988938537754086,0.9988924859430908,0.9996964725501922,0.4689420167128218,0.5154933039344789,0.47464553794829023,0.8670561144455389,[30],[22]
0.9998331949278721,0.9998332995687784,0.9998331943286072,0.9999546588075265,0.45409291433577625,0.49918825669575456,0.46047909189550124,0.8619161654961746,[22],[23]
0.99991608832816,0.9999161168603085,0.9999160933042457,0.9999760679669738,0.5830207888642792,0.5967611523263173,0.5974727741291878,0.8953822034776818,[33],[24]
0.99991608832816,0.9999161168603085,0.9999160933042457,0.9999760679669738,0.5664473607102046,0.5608633525690132,0.5871264767199444,0.8929080229602073,[33],[25]
0.999430664470599,0.9994312580326812,0.9994305779633672,0.999848958277866,0.5190748774201779,0.5348840527241261,0.5249519351333277,0.8754023213874216,[18],[28]
0.999430664470599,0.9994312580326812,0.9994305779633672,0.999848958277866,0.4883585621616168,0.5293164806975784,0.5020446413358324,0.8725196471776269,[18],[30]
0.9988921319010081,0.9988938537754086,0.9988924859430908,0.9996964725501922,0.587287771433522,0.5994281974423061,0.5919617385467361,0.893525412537187,[30],[33]
0.9998304510003391,0.9998304510003391,0.9998304510003391,0.9999558063596197,0.5870795164312091,0.5954605405902974,0.6013851802403204,0.8967479495799241,[35],[34]
0.9994993762447121,0.9995001954152026,0.9994993324432577,0.9998589728522742,0.590560692645819,0.623456348265382,0.6086809087826381,0.8971314939923033,[34],[35]
0.999430664470599,0.9994312580326812,0.9994305779633672,0.999848958277866,0.4845730647365421,0.5264639805967909,0.4935614588023413,0.8687843326057404,[18],[37]
