f1_score_train,prec_score_train,rec_score_train,f1_score_test,prec_score_test,rec_score_test,train_dev,test_dev
0.8556037005236754,0.8599336642930622,0.8543082858717619,0.5550031300201334,0.5825551616561447,0.5504134006227853,[30],[18]
0.6764115701953992,0.7265833992370055,0.6648156182212581,0.5281128323566459,0.5755501987519954,0.5062833534171114,[34],[20]
0.8503964671106083,0.8562120583748106,0.8488884806173066,0.5099502084308745,0.5470236708278686,0.5043597196101898,[30],[22]
0.9475146896146991,0.9496552187861697,0.9473414258847667,0.4535000713787008,0.5186709397749335,0.44174673987645846,[22],[23]
0.9408389431684419,0.9417527281966307,0.9406970695335529,0.6313562042660311,0.6366213947959997,0.6328322918425942,[33],[24]
0.9598427536495227,0.9613464123358727,0.9595110109242241,0.5936966090769473,0.5926677247954157,0.5966326347841662,[33],[25]
0.9544350119198667,0.9548761821400439,0.9542574895307635,0.5558419720500734,0.5730911309825683,0.5504846873123446,[18],[28]
0.8490368017780666,0.8565846622288943,0.8475249651025448,0.5429706513260648,0.5614784278115734,0.5420723865515341,[18],[30]
0.9513611897314297,0.9518986024392002,0.9512217527099026,0.6148358154883085,0.6261913057609054,0.6102826426218138,[30],[33]
0.9399452275004896,0.9422645521772587,0.9393025113142248,0.6170092872030059,0.6329134738806832,0.6142299349240781,[35],[34]
0.9132263032761258,0.9164979363638436,0.9124511930585684,0.6370285799663232,0.6554414773550128,0.6305794657911084,[34],[35]
0.8010924776508226,0.8117347370148704,0.7994201653602491,0.5361712877807325,0.5575249352703641,0.5329591933796253,[18],[37]
