f1_score_train,prec_score_train,rec_score_train,spec_score_train,f1_score_test,prec_score_test,rec_score_test,spec_score_test,train_dev,test_dev
0.9999148077819866,0.999914835697176,0.999914806611007,0.9999772985244041,0.5458810046105055,0.5822723473019723,0.5468349625130493,0.8865569284742809,[30],[18]
0.9997496262316782,0.9997498235709762,0.9997496035389366,0.9999299883313885,0.6772132937807146,0.675519657133401,0.6842280760253417,0.9157398390081649,[23],[20]
1.0,1.0,1.0,1.0,0.5889548667889117,0.5919392859886886,0.5889908256880734,0.8958121321666562,[25],[22]
0.9998337277122443,0.9998337854760004,0.9998337351400781,0.9999535922593209,0.7276668940439408,0.7487833285408857,0.7223103246807445,0.9287802673919252,[24],[23]
0.9997496262316782,0.9997498235709762,0.9997496035389366,0.9999299883313885,0.6651324951404626,0.6803898753409693,0.6815196608196857,0.915319707989363,[23],[24]
1.0,1.0,1.0,1.0,0.5651232637141619,0.5671518254995085,0.5770500347463516,0.8911999246911488,[22],[25]
0.9999148077819866,0.999914835697176,0.999914806611007,0.9999772985244041,0.6342321358327377,0.6439720334382503,0.6309454150296748,0.9052212826107537,[30],[28]
0.999715300169235,0.9997155951225635,0.9997152889816836,0.9999225806451613,0.516969096337049,0.5557548925648554,0.5257284034758902,0.8793220420363685,[18],[30]
0.9999148077819866,0.999914835697176,0.999914806611007,0.9999772985244041,0.6406330892519546,0.6485797726168151,0.641047155563014,0.9079062606225594,[30],[33]
1.0,1.0,1.0,1.0,0.6245973151274306,0.6360271627999413,0.632343124165554,0.9064044133752196,[35],[34]
0.9996662130637665,0.9996666053924156,0.9996662216288384,0.999905981901516,0.6348463005915278,0.663631356797864,0.6418277382163445,0.9076431494410621,[34],[35]
0.9998337277122443,0.9998337854760004,0.9998337351400781,0.9999535922593209,0.6785663298524218,0.6966339532567236,0.6707789284106258,0.9162779243070768,[24],[37]
