f1_score_train,prec_score_train,rec_score_train,f1_score_uw_train,prec_score_uw_train,rec_score_uw_train,spec_score_train,f1_score_test,prec_score_test,rec_score_test,f1_score_uw_test,prec_score_uw_test,rec_score_uw_test,spec_score_test,train_dev,test_dev
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6598853769466042,0.6573276509912804,0.6698473282442748,0.6101567356504569,0.6162726777306462,0.6119542525584463,0.913980147300751,[3],[1]
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6634080762920797,0.6748094160322292,0.6614981436994977,0.6217578964540801,0.6288675567857444,0.6235742052613749,0.9145549918973265,[3],[2]
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7266134775513579,0.7261867227254586,0.738087823108066,0.691714139006833,0.7136614678835486,0.6817429588178829,0.9306313956929424,[2],[3]
1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6327916092828129,0.6409404047979046,0.6472074094863879,0.6052280235199956,0.6244038898158566,0.6079214834581496,0.9100003593946389,[3],[4]
