f1_score_train,prec_score_train,rec_score_train,spec_score_train,f1_score_test,prec_score_test,rec_score_test,spec_score_test
1.0,1.0,1.0,1.0,0.1914548271937126,0.3210806325860462,0.21414913957934992,0.8027375030998571
0.9980118140139675,0.9980160692575198,0.9980119284294234,0.9994539824828641,0.21484858852770894,0.27242356119726036,0.23393465791005072,0.8051497607517181
0.9906552486245404,0.990805863996157,0.99065052652298,0.9973491998252451,0.2712134136609122,0.32214722642933435,0.29994180729902736,0.8174000972712883
0.989019348842603,0.9891679967033377,0.9890200286123033,0.9968301202398446,0.3415538931246496,0.3420046397517741,0.35722005154210656,0.8285010455981465
0.9861028708549241,0.9863020017217571,0.9860972083194306,0.995907406036759,0.3652681623657114,0.36384091405493696,0.38265857511015045,0.8351950076088398
0.983283455089898,0.9835072697344508,0.9832790395699023,0.9950885876688005,0.3791534329354554,0.3759937403425505,0.3973730152132347,0.8393936213465235
0.9831012296928099,0.9832808554247472,0.9831006612784717,0.995032578634218,0.3946533423388555,0.38755424707595404,0.4105079391470613,0.8450375375608925
0.9773045678770472,0.9775994977723447,0.9772981828516023,0.993550137558833,0.5208994941551299,0.5627146069460409,0.5401113974561477,0.881529340989208
0.9729083015359304,0.973338382565528,0.9728949122417241,0.9925435323093813,0.5368510845027238,0.5747360011126266,0.55465957269931,0.8847119233737079
0.9737089663797225,0.9741114060167879,0.9737030174695606,0.992974159393724,0.544921158992685,0.5838515738257638,0.561642696816028,0.8869265344744328
0.973399112665952,0.9737783914416406,0.9733870293137032,0.9930237111029905,0.5658340840177757,0.6020999592442297,0.5791005071078228,0.8912052234108575
0.9739556601701433,0.9743554440104536,0.973936403508772,0.9932124645581135,0.5830042090682896,0.6159294964839519,0.5942306093607116,0.8950002221723278
0.9700314255436906,0.9704979846738009,0.9700318165749204,0.9921609725012205,0.6114846273744519,0.6353585813628909,0.6209992518081303,0.9015386762812637
0.9637019686364978,0.9643071703485481,0.9636806859787909,0.990548787153411,0.6447174100473309,0.6566882129616698,0.6528389724831657,0.9100961351189193
0.9569479913794362,0.957848202296264,0.9569308818703491,0.9887079768301502,0.6670333801986785,0.6739815049705687,0.6745365367029679,0.9157449635338984
0.9517282488843214,0.9529481855120301,0.9516889368412317,0.987155481141585,0.6867822174223321,0.6934834433949227,0.6941557901737467,0.9209655792047172
0.9503168043742518,0.9515636797026845,0.9502256458138811,0.9866692922151173,0.7037199374201927,0.708561241383241,0.711197938315737,0.9260637597308585
