f1_score_train,prec_score_train,rec_score_train,spec_score_train,f1_score_test,prec_score_test,rec_score_test,spec_score_test
1.0,1.0,1.0,1.0,0.06778023818310984,0.3254827069831134,0.14668327623793212,0.8032117450886185
1.0,1.0,1.0,1.0,0.3420200626311792,0.3832454158138077,0.35938959825599504,0.8369012452147653
1.0,1.0,1.0,1.0,0.47815063453739165,0.5331106911850396,0.5101214574898786,0.8698815172610759
1.0,1.0,1.0,1.0,0.5569556063717581,0.6005601035199375,0.5814388041108689,0.8907413134365705
1.0,1.0,1.0,1.0,0.5968470508286604,0.6062862363001303,0.6156960448458424,0.895280029929223
1.0,1.0,1.0,1.0,0.6587460602530599,0.6688124395365812,0.6658361881033946,0.9134484425533383
1.0,1.0,1.0,1.0,0.7378992469788378,0.7375514961609398,0.7415135471815634,0.9354440727423295
1.0,1.0,1.0,1.0,0.7579442577583042,0.7568651522755324,0.7620678916225475,0.9404164863444372
1.0,1.0,1.0,1.0,0.7555666496876039,0.7544016683262199,0.7601993148551853,0.9400431222794392
1.0,1.0,1.0,1.0,0.754610193204867,0.7530880395719064,0.7592650264715042,0.9396922803062505
0.9996529197122913,0.9996530407291256,0.9996528982992017,0.9999080941650795,0.7573287170162876,0.7558976068274574,0.7620678916225475,0.9404692779584881
0.9998378466028863,0.9998378466028863,0.9998378466028863,0.9999567467171184,0.7613284192304353,0.759583262601918,0.7664279040797259,0.9414548176931126
