f1_score_train,prec_score_train,rec_score_train,f1_score_uw_train,prec_score_uw_train,rec_score_uw_train,spec_score_train,f1_score_test,prec_score_test,rec_score_test,f1_score_uw_test,prec_score_uw_test,rec_score_uw_test,spec_score_test,train_dev,test_dev
0.7102842539801393,0.7127248109908642,0.7109058421875498,0.6639157549537644,0.6726732179412209,0.6584551448592997,0.9258569364095516,0.6291529487373648,0.6439280781514773,0.632771394824439,0.583730725664601,0.5993282324208732,0.5879234676559959,0.9061872304671923,"[33, 34, 35, 37, 20, 22, 23, 24, 25, 28, 30]",[18]
0.6968915586779778,0.6971719058107159,0.7051658147717761,0.643599871423653,0.6626921984315827,0.6395591155860813,0.923758268832237,0.7031727507084704,0.7186227678592516,0.7028748493716647,0.6378491989352463,0.6552846255814518,0.6400420141025391,0.9234881211336537,"[33, 34, 35, 37, 18, 22, 23, 24, 25, 28, 30]",[20]
0.6787857842418938,0.6867671346255458,0.688003642898381,0.620845037751418,0.6537721632007096,0.615428322484172,0.9185609940636213,0.6082614081871622,0.6231745109812369,0.6188237305522312,0.5479740905931971,0.5731489743098426,0.5547080134857751,0.9024704756276272,"[33, 34, 35, 37, 18, 20, 23, 24, 25, 28, 30]",[22]
0.680579576367491,0.6817447293722769,0.694718787849229,0.6228913062958402,0.6527052326474525,0.6195304199060921,0.9201393948294008,0.681891558362743,0.7051316016348048,0.6886582017844887,0.6224828260172746,0.6561793859235987,0.6214023012886601,0.918773665330639,"[33, 34, 35, 37, 18, 20, 22, 24, 25, 28, 30]",[23]
0.7044646580073595,0.7079429513903057,0.7143647983066715,0.6476590750659772,0.6754230491780994,0.6456356341171103,0.9262369172494711,0.7303851824510894,0.7357415186008036,0.7427799358216517,0.6782793512512469,0.7051141206087775,0.6835213606784002,0.9334859309807813,"[33, 34, 35, 37, 18, 20, 22, 23, 25, 28, 30]",[24]
0.7253325061659462,0.727195043649702,0.7319186145363571,0.6742730180050479,0.6966245985276935,0.6685948351111481,0.9307240929507989,0.6260906163398087,0.6243218582896986,0.6426652337452983,0.5816944634696197,0.5986348549979456,0.5884549069982522,0.9075362250905575,"[33, 34, 35, 37, 18, 20, 22, 23, 24, 28, 30]",[25]
0.7205477606105578,0.7212519097076137,0.7276215249552919,0.6716991820236666,0.6911895865923814,0.6662546200592854,0.9296243829308309,0.7296309197519786,0.7296704610010397,0.7325212318778417,0.6715352499219251,0.6816041427820327,0.667702411528867,0.931144031620313,"[33, 34, 35, 37, 18, 20, 22, 23, 24, 25, 30]",[28]
0.7185908226272023,0.7211117892811086,0.7246164906980314,0.6688418636099617,0.6889887078107082,0.6642957846238828,0.9290306404081212,0.7086181434240708,0.7132627960965273,0.7171596546022414,0.658035828736007,0.6776914442432889,0.657827684000958,0.9272711020352256,"[33, 34, 35, 37, 18, 20, 22, 23, 24, 25, 28]",[30]
0.7276889570339279,0.7310848715668383,0.7315559958747148,0.6804449215341267,0.6997794843795279,0.6727915537396452,0.9306782273788873,0.7197344298140268,0.7204163385334745,0.7245534940176869,0.6732072885854458,0.6892266211141227,0.6677844753865887,0.9288325289584822,"[34, 35, 37, 18, 20, 22, 23, 24, 25, 28, 30]",[33]
0.7174851249406822,0.7205626548844207,0.7231388852799792,0.6661257007273029,0.6871283603621549,0.6587834588299908,0.9282754749982945,0.6122535269557844,0.6376161690359565,0.6150108459869849,0.5529285907607226,0.5659292974676828,0.5793984927534488,0.9026040294209509,"[33, 35, 37, 18, 20, 22, 23, 24, 25, 28, 30]",[34]
0.7106471280032657,0.70947847188245,0.7204800337093219,0.6580917266055182,0.6788289438679005,0.6525390026054431,0.9273049281907465,0.6819218448099723,0.6875830396255186,0.6880823498092111,0.6123903967099382,0.6285306577315082,0.6118062600261185,0.9203261526045248,"[33, 34, 37, 18, 20, 22, 23, 24, 25, 28, 30]",[35]
0.7079846640537623,0.7119812255363951,0.7105843883895493,0.6598610117209548,0.6732513526673327,0.6556358358224031,0.9257955977400666,0.7155339128546606,0.7253623899029636,0.7154951013031485,0.6590513648126219,0.6682082758378872,0.6601497190364249,0.92752402886166,"[33, 34, 35, 18, 20, 22, 23, 24, 25, 28, 30]",[37]
