f1_score_train,prec_score_train,rec_score_train,f1_score_test,prec_score_test,rec_score_test,train_dev,test_dev
0.8960783682809568,0.8981251950973197,0.8954620613632188,0.5537239314267671,0.5802384493803752,0.5499838934822291,[30],[18]
0.9571359910130752,0.957395553051759,0.9571036376115305,0.6595339377837154,0.662084757281768,0.6584610087794801,[23],[20]
0.9566768733099402,0.9574852643880072,0.9564750134336378,0.5734636304000026,0.5889360501907722,0.5643699777739785,[25],[22]
0.9415068058609253,0.9422711865884916,0.9416483702077352,0.6639044894254149,0.6921186396939292,0.6512525737817433,[24],[23]
0.9479667304450079,0.9490608322871149,0.9477522306108442,0.6701391184430727,0.6757256000645686,0.678770477959804,[23],[24]
0.933986727108782,0.9370207633747185,0.9335783894682852,0.5438595346799734,0.549063524497065,0.5438832169084722,[22],[25]
0.9547883697983669,0.9555067293851589,0.9546206136321881,0.6169423242488475,0.632732126342813,0.6071030282233851,[30],[28]
0.8625305288131079,0.8702164911698465,0.8614839471706217,0.5426400556639362,0.5612798496237346,0.5420723865515341,[18],[30]
0.9577947491171789,0.9581089291799035,0.9578357523424582,0.611374995194649,0.6206104323612072,0.6089821397607075,[30],[33]
0.9345294619153123,0.9377972409841172,0.9337119531457982,0.6157126529369534,0.6324312457957197,0.6127548806941432,[35],[34]
0.9199303689455726,0.9212698206636625,0.9195661605206074,0.63514754060308,0.6529164011387483,0.6323542461620375,[34],[35]
0.9468567500850482,0.9486421149279761,0.9469684174970444,0.6787967876266232,0.6917339785511439,0.6704080662037477,[24],[37]
