f1_score_train,prec_score_train,rec_score_train,spec_score_train,f1_score_test,prec_score_test,rec_score_test,spec_score_test,num_test_dev,rand_exp_id
0.937320106106844,0.9397079464754176,0.9372505560420654,0.9830843807158196,0.5997596029340494,0.5947768254580119,0.6163134120917304,0.9009243260530841,1,0
0.937320106106844,0.9397079464754176,0.9372505560420654,0.9830843807158196,0.5997596029340494,0.5947768254580119,0.6163134120917304,0.9009243260530841,1,1
0.9383190858669699,0.9404222108374151,0.9382903116635387,0.9833751428530505,0.5781759737387169,0.5945788519114192,0.5899212299515991,0.8955674754527415,1,2
0.9396864768336234,0.9417096466395838,0.9396152739209235,0.9837040659285672,0.5742934376364126,0.5908850455085806,0.5818181818181818,0.8940248069418812,1,3
0.9384927949893549,0.9408859026271581,0.9384598745403417,0.9834229469322322,0.6760757143907358,0.6910685703236755,0.6802341287708239,0.9178745535971071,1,4
0.9400821677999843,0.9422138362657001,0.9400558524499623,0.9839039267855336,0.689474362501521,0.704066645563421,0.6893964654884962,0.9198450404464211,1,5
0.9377188289096466,0.939989270152762,0.9377294505631262,0.9832419052777123,0.6900037263234997,0.708290514474644,0.6915950254569735,0.9205514469977285,1,6
0.9377188289096466,0.939989270152762,0.9377294505631262,0.9832419052777123,0.6900037263234997,0.708290514474644,0.6915950254569735,0.9205514469977285,1,7
0.9384675844541858,0.9407290886280523,0.9384458650241861,0.9834401535295815,0.7136422828791037,0.7123464868142726,0.7170442196773384,0.9267728109574543,1,8
0.9383547571622362,0.9404905732479443,0.9383346945125034,0.9834143299105491,0.5826785762369368,0.6145048017340412,0.5841121495327103,0.8954076094211972,1,9
0.9471747308138463,0.948931302615626,0.9470855016675097,0.9856811591166975,0.6308431978071111,0.6345846742697163,0.6386565166471474,0.9073451342730531,2,0
0.9450690989304017,0.9468800372899374,0.9450429299136316,0.9852089311794924,0.6360898878713747,0.6328403722451047,0.6501373748116636,0.9090645636360677,2,1
0.9444406310814172,0.9462894829836819,0.9444106795867181,0.9849895541505379,0.6242080161062922,0.622416946126909,0.6334710047201618,0.9054706864397091,2,2
0.9459052441012193,0.947786823123158,0.9458739186703903,0.9854520173635061,0.671968506995034,0.6900693652866116,0.6733474741353188,0.9159627852355745,2,3
0.9406975426016592,0.9429675342342283,0.940618043176022,0.9839542793637444,0.6218808145669676,0.6225501431622753,0.6312853955723357,0.9053258231956669,2,4
0.9460597157084871,0.9478168139038696,0.9460175792165563,0.9854307537555282,0.6324809525660832,0.6341512318750898,0.6427967045201514,0.9080471004387378,2,5
0.9471747308138463,0.948931302615626,0.9470855016675097,0.9856811591166975,0.6308431978071111,0.6345846742697163,0.6386565166471474,0.9073451342730531,2,6
0.9423198232067775,0.9443968809370392,0.9422393795954702,0.9844263760769056,0.6229223284446131,0.6212975279595051,0.6319450299300228,0.9049767011750258,2,7
0.9416927264847035,0.9438497072829738,0.9416212790737506,0.9842386525777702,0.6731479312509447,0.6801622544230436,0.6745173907557724,0.9160859488886807,2,8
0.9446725005809914,0.9466802529834407,0.9446375877624393,0.985065971698635,0.6433955242678416,0.6413575367157489,0.6550382455674935,0.9106875419961545,2,9
0.9492420835923926,0.9509874128085845,0.9491768615012838,0.9863251582921861,0.6577259947560112,0.6618728199334593,0.6639990754918672,0.9130625600778334,3,0
0.9514730562101565,0.9532244866661121,0.95146723660195,0.9868928787256153,0.6727793558552709,0.6788887224978786,0.6779865540424065,0.9168376699987164,3,1
0.9499236943154186,0.951603378250306,0.9498841720926242,0.9865239192225597,0.6658963382751677,0.6694610372440304,0.6709861999326826,0.9151878857294953,3,2
0.9499236943154186,0.951603378250306,0.9498841720926242,0.9865239192225597,0.6658963382751677,0.6694610372440304,0.6709861999326826,0.9151878857294953,3,3
0.9527406397133646,0.9541794401171021,0.9526577437858509,0.9872287401261284,0.6587419815306205,0.659244678784581,0.6621602826226043,0.9128196661162564,3,4
0.9484450475159999,0.9503146018455148,0.9484032049821524,0.9860666778049969,0.6647732007017346,0.6611426364096877,0.6744100190270639,0.9156696319566038,3,5
0.9485382339093482,0.9500495248361867,0.9484777738030238,0.9860022620054985,0.579456993819593,0.6022359235053224,0.5849139061270868,0.8949650828452759,3,6
0.9512400165574988,0.9526801681870533,0.9512388279217106,0.9868504853440292,0.6649921415143415,0.6648111918041129,0.6708622139729126,0.9146403380135562,3,7
0.949146450147554,0.9510119997445601,0.9491170450759199,0.9862925436586053,0.6708178401898436,0.6666019542554938,0.6822329878323569,0.9175446927406339,3,8
0.9523091898880486,0.9535255056005515,0.952282607670618,0.9870979675489217,0.6251127160430779,0.6309736808622242,0.6312159499246551,0.9050396837031567,3,9
0.9588871963840555,0.9600170538649931,0.9587936343863729,0.9888220784109778,0.632635282324172,0.6345026834375008,0.6400419507079183,0.9074284888144872,4,0
0.957581385634379,0.9588754125877146,0.9575197463865456,0.9885104798190236,0.6456012258133211,0.6411304337953548,0.6572409146418495,0.9112564738102421,4,1
0.9558006515409934,0.9572022930160384,0.9557085028937111,0.9880047115216268,0.6375194708777991,0.635506042572236,0.6449088915134132,0.9082544361656572,4,2
0.9548657979626028,0.9565797241911292,0.9548239791854723,0.9877963186709234,0.6525791799195333,0.6561238899716104,0.6638496033114867,0.9129397520623188,4,3
0.9499355669852972,0.9518395341622379,0.9498071577858698,0.9864202585830792,0.6499630201427035,0.6502394596616515,0.6581599513901984,0.9118250648686426,4,4
0.9535793046606151,0.9550564405595858,0.9534788554936949,0.9873038124634043,0.6008232844916196,0.6179363669502853,0.6061063579936252,0.8998927930234482,4,5
