f1_score_train,prec_score_train,rec_score_train,f1_score_uw_train,prec_score_uw_train,rec_score_uw_train,spec_score_train,f1_score_test,prec_score_test,rec_score_test,f1_score_uw_test,prec_score_uw_test,rec_score_uw_test,spec_score_test,train_dev,test_dev
0.9498756601703726,0.9510250895491845,0.9498123250161523,0.9485916915370547,0.9581080078904259,0.9405322286516498,0.9865248916766152,0.5857461345828707,0.6017123999866483,0.5942867988991174,0.5371896071488501,0.5490769446656941,0.5546480619588645,0.8971694045737799,"[33, 34, 35, 37, 20, 22, 23, 24, 25, 28, 30]",[18]
0.9496196247644209,0.9508174900707056,0.9495149860368876,0.9486392979500238,0.9575638622643525,0.9410966122579139,0.9865010762820517,0.6948012849523552,0.707975334319528,0.692647549183061,0.6311122938666767,0.6381515669603928,0.6344658802706483,0.9211832032075747,"[33, 34, 35, 37, 18, 22, 23, 24, 25, 28, 30]",[20]
0.9525910822247552,0.9536028731198556,0.9524965191079582,0.95206403830727,0.9605524889320215,0.9447570705558832,0.9872306734401137,0.5843077214700597,0.6012047654964056,0.5892410341951626,0.5337528114214609,0.5424970335002027,0.5478394953651651,0.8965365310717969,"[33, 34, 35, 37, 18, 20, 23, 24, 25, 28, 30]",[22]
0.9480950582813004,0.9494119963211043,0.9480430589260158,0.946566634370256,0.9566072720131121,0.9381637475536,0.9860624412851099,0.6927598369285471,0.7104755005417326,0.6923462148401636,0.6415848687969463,0.6525779887912434,0.6441829183614611,0.9213553715486114,"[33, 34, 35, 37, 18, 20, 22, 24, 25, 28, 30]",[23]
0.9501700248241789,0.9514166473373257,0.9500933706816059,0.9488433209407006,0.9582296066791972,0.9409472213307504,0.9866405653891643,0.7005979901605965,0.7053906274560818,0.7077895086873389,0.6504882043281893,0.6586078803063761,0.6570374176831731,0.9252360231904996,"[33, 34, 35, 37, 18, 20, 22, 23, 25, 28, 30]",[24]
0.9480289381506176,0.9493430007667338,0.9479529127304571,0.9464321677618811,0.95646609018268,0.9380325317103824,0.9860431603670579,0.6078425378335395,0.6030093269157161,0.6217859624739402,0.5692786087729058,0.5733940376336575,0.5769840969046787,0.9027907094178088,"[33, 34, 35, 37, 18, 20, 22, 23, 24, 28, 30]",[25]
0.9509933996903205,0.9521726830294627,0.9509122299472726,0.9501237609617752,0.9590850169755963,0.9425380070343218,0.986843497378198,0.7146786640520566,0.714258290900345,0.7161247178801304,0.6539975045414173,0.6588840456712455,0.6502629655211616,0.9269394944010679,"[33, 34, 35, 37, 18, 20, 22, 23, 24, 25, 30]",[28]
0.9493590608870279,0.9505897130911148,0.949282281792704,0.9481649391654876,0.9575373188510625,0.940256551688839,0.9864066549292645,0.6691623775077731,0.6749599715738703,0.6758391548815812,0.6181275610809722,0.6299577712744501,0.6194855718945391,0.9167615798069789,"[33, 34, 35, 37, 18, 20, 22, 23, 24, 25, 28]",[30]
0.9513652226600873,0.9525389240013137,0.9512947889699994,0.9504407470306641,0.9594375334928221,0.942841138906483,0.986942029373971,0.6955655968460911,0.6921340913378005,0.7012082564188622,0.6445206637861027,0.6499252309883194,0.642537151972659,0.9231519262420923,"[34, 35, 37, 18, 20, 22, 23, 24, 25, 28, 30]",[33]
0.9486006232272667,0.949821397696104,0.9485163147046242,0.9473871171723142,0.9570325106785097,0.9392423091355775,0.9861887903562252,0.5790139931697171,0.6118084252514819,0.579105473965287,0.5231545970223541,0.5337072932387747,0.5595417450558728,0.8945746850006474,"[33, 35, 37, 18, 20, 22, 23, 24, 25, 28, 30]",[34]
0.9485652144849768,0.9499165567349545,0.9484827537999114,0.9474414673279657,0.9572470714235746,0.9392253230606599,0.9861570482417467,0.6571789660848203,0.668593268761407,0.6581044421837912,0.592785625331147,0.60199878446464,0.5938981720261914,0.913498524139138,"[33, 34, 37, 18, 20, 22, 23, 24, 25, 28, 30]",[35]
0.9495457818789143,0.95081071328183,0.9494762213775841,0.9481743981326014,0.9577416048058248,0.940137357401244,0.9864573646653785,0.6762270386908418,0.6893599736053226,0.6786132372805043,0.6172360970466463,0.6283348167408287,0.6193341195577695,0.9180030378914872,"[33, 34, 35, 18, 20, 22, 23, 24, 25, 28, 30]",[37]
